icd10_code,icdo3_code
C10,8000/3
C10,8001/3
C10,8002/3
C10,8003/3
C10,8004/3
C10,8005/3
C10,8010/2
C10,8010/3
C10,8011/3
C10,8012/3
C10,8013/3
C10,8014/3
C10,8015/3
C10,8020/3
C10,8021/3
C10,8022/3
C10,8030/3
C10,8031/3
C10,8032/3
C10,8033/3
C10,8034/3
C10,8035/3
C10,8050/2
C10,8050/3
C10,8051/3
C10,8052/2
C10,8052/3
C10,8070/2
C10,8070/3
C10,8071/3
C10,8072/3
C10,8073/3
C10,8074/3
C10,8075/3
C10,8076/2
C10,8076/3
C10,8078/3
C10,8081/2
C10,8082/3
C10,8083/3
C10,8084/3
C10,8085/3
C10,8086/3
C10,8120/2
C10,8120/3
C10,8121/3
C10,8122/3
C10,8123/3
C10,8124/3
C10,8140/2
C10,8140/3
C10,8141/3
C10,8143/3
C10,8147/3
C10,8200/3
C10,8201/2
C10,8201/3
C10,8255/3
C10,8260/3
C10,8261/2
C10,8261/3
C10,8262/3
C10,8263/2
C10,8263/3
C10,8430/3
C10,8480/3
C10,8481/3
C10,8720/2
C10,8720/3
C10,8721/3
C10,8722/3
C10,8723/3
C10,8730/3
C10,8743/3
C10,8745/3
C10,8746/3
C10,8761/3
C10,8770/3
C10,8771/3
C10,8772/3
C10,8800/3
C10,8801/3
C10,8802/3
C10,8803/3
C10,8804/3
C10,8805/3
C10,8806/3
C10,8850/3
C10,8851/3
C10,8852/3
C10,8853/3
C10,8854/3
C10,8855/3
C10,8857/3
C10,8858/3
C10,8900/3
C10,8901/3
C10,8902/3
C10,8910/3
C10,8912/3
C10,8940/3
C10,8941/3
C10,8980/3
C10,8981/3
C10,8982/3
C10,9140/3
C10,9590/3
C10,9591/3
C10,9596/3
C10,9650/3
C10,9651/3
C10,9652/3
C10,9653/3
C10,9654/3
C10,9655/3
C10,9659/3
C10,9661/3
C10,9662/3
C10,9663/3
C10,9664/3
C10,9665/3
C10,9667/3
C10,9670/3
C10,9671/3
C10,9673/3
C10,9675/3
C10,9680/3
C10,9684/3
C10,9687/3
C10,9688/3
C10,9690/3
C10,9691/3
C10,9695/3
C10,9698/3
C10,9699/3
C10,9701/3
C10,9702/3
C10,9705/3
C10,9712/3
C10,9714/3
C10,9715/3
C10,9719/3
C10,9724/3
C10,9727/3
C10,9728/3
C10,9729/3
C10,9731/3
C10,9734/3
C10,9735/3
C10,9737/3
C10,9738/3
C10,9740/3
C10,9741/3
C10,9749/3
C10,9750/3
C10,9751/3
C10,9754/3
C10,9755/3
C10,9756/3
C10,9757/3
C10,9758/3
C10,9759/3
C10,9766/3
C10,9811/3
C10,9812/3
C10,9813/3
C10,9814/3
C10,9815/3
C10,9816/3
C10,9817/3
C10,9818/3
C10,9819/3
C10,9823/3
C10,9831/3
C10,9837/3
C10,9965/3
C10,9967/3
C10,9971/3
C10,9975/3
C10.0,8000/3
C10.0,8001/3
C10.0,8002/3
C10.0,8003/3
C10.0,8004/3
C10.0,8005/3
C10.0,8010/2
C10.0,8010/3
C10.0,8011/3
C10.0,8012/3
C10.0,8013/3
C10.0,8014/3
C10.0,8015/3
C10.0,8020/3
C10.0,8021/3
C10.0,8022/3
C10.0,8030/3
C10.0,8031/3
C10.0,8032/3
C10.0,8033/3
C10.0,8034/3
C10.0,8035/3
C10.0,8050/2
C10.0,8050/3
C10.0,8051/3
C10.0,8052/2
C10.0,8052/3
C10.0,8070/2
C10.0,8070/3
C10.0,8071/3
C10.0,8072/3
C10.0,8073/3
C10.0,8074/3
C10.0,8075/3
C10.0,8076/2
C10.0,8076/3
C10.0,8078/3
C10.0,8081/2
C10.0,8082/3
C10.0,8083/3
C10.0,8084/3
C10.0,8085/3
C10.0,8086/3
C10.0,8120/2
C10.0,8120/3
C10.0,8121/3
C10.0,8122/3
C10.0,8123/3
C10.0,8124/3
C10.0,8140/2
C10.0,8140/3
C10.0,8141/3
C10.0,8143/3
C10.0,8147/3
C10.0,8200/3
C10.0,8201/2
C10.0,8201/3
C10.0,8255/3
C10.0,8260/3
C10.0,8261/2
C10.0,8261/3
C10.0,8262/3
C10.0,8263/2
C10.0,8263/3
C10.0,8430/3
C10.0,8480/3
C10.0,8481/3
C10.0,8720/2
C10.0,8720/3
C10.0,8721/3
C10.0,8722/3
C10.0,8723/3
C10.0,8730/3
C10.0,8743/3
C10.0,8745/3
C10.0,8746/3
C10.0,8761/3
C10.0,8770/3
C10.0,8771/3
C10.0,8772/3
C10.0,8800/3
C10.0,8801/3
C10.0,8802/3
C10.0,8803/3
C10.0,8804/3
C10.0,8805/3
C10.0,8806/3
C10.0,8850/3
C10.0,8851/3
C10.0,8852/3
C10.0,8853/3
C10.0,8854/3
C10.0,8855/3
C10.0,8857/3
C10.0,8858/3
C10.0,8900/3
C10.0,8901/3
C10.0,8902/3
C10.0,8910/3
C10.0,8912/3
C10.0,8940/3
C10.0,8941/3
C10.0,8980/3
C10.0,8981/3
C10.0,8982/3
C10.0,9140/3
C10.0,9590/3
C10.0,9591/3
C10.0,9596/3
C10.0,9650/3
C10.0,9651/3
C10.0,9652/3
C10.0,9653/3
C10.0,9654/3
C10.0,9655/3
C10.0,9659/3
C10.0,9661/3
C10.0,9662/3
C10.0,9663/3
C10.0,9664/3
C10.0,9665/3
C10.0,9667/3
C10.0,9670/3
C10.0,9671/3
C10.0,9673/3
C10.0,9675/3
C10.0,9680/3
C10.0,9684/3
C10.0,9687/3
C10.0,9688/3
C10.0,9690/3
C10.0,9691/3
C10.0,9695/3
C10.0,9698/3
C10.0,9699/3
C10.0,9701/3
C10.0,9702/3
C10.0,9705/3
C10.0,9712/3
C10.0,9714/3
C10.0,9715/3
C10.0,9719/3
C10.0,9724/3
C10.0,9727/3
C10.0,9728/3
C10.0,9729/3
C10.0,9731/3
C10.0,9734/3
C10.0,9735/3
C10.0,9737/3
C10.0,9738/3
C10.0,9740/3
C10.0,9741/3
C10.0,9749/3
C10.0,9750/3
C10.0,9751/3
C10.0,9754/3
C10.0,9755/3
C10.0,9756/3
C10.0,9757/3
C10.0,9758/3
C10.0,9759/3
C10.0,9766/3
C10.0,9811/3
C10.0,9812/3
C10.0,9813/3
C10.0,9814/3
C10.0,9815/3
C10.0,9816/3
C10.0,9817/3
C10.0,9818/3
C10.0,9819/3
C10.0,9823/3
C10.0,9831/3
C10.0,9837/3
C10.0,9965/3
C10.0,9967/3
C10.0,9971/3
C10.0,9975/3
C10.1,8000/3
C10.1,8001/3
C10.1,8002/3
C10.1,8003/3
C10.1,8004/3
C10.1,8005/3
C10.1,8010/2
C10.1,8010/3
C10.1,8011/3
C10.1,8012/3
C10.1,8013/3
C10.1,8014/3
C10.1,8015/3
C10.1,8020/3
C10.1,8021/3
C10.1,8022/3
C10.1,8030/3
C10.1,8031/3
C10.1,8032/3
C10.1,8033/3
C10.1,8034/3
C10.1,8035/3
C10.1,8050/2
C10.1,8050/3
C10.1,8051/3
C10.1,8052/2
C10.1,8052/3
C10.1,8070/2
C10.1,8070/3
C10.1,8071/3
C10.1,8072/3
C10.1,8073/3
C10.1,8074/3
C10.1,8075/3
C10.1,8076/2
C10.1,8076/3
C10.1,8078/3
C10.1,8081/2
C10.1,8082/3
C10.1,8083/3
C10.1,8084/3
C10.1,8085/3
C10.1,8086/3
C10.1,8120/2
C10.1,8120/3
C10.1,8121/3
C10.1,8122/3
C10.1,8123/3
C10.1,8124/3
C10.1,8140/2
C10.1,8140/3
C10.1,8141/3
C10.1,8143/3
C10.1,8147/3
C10.1,8200/3
C10.1,8201/2
C10.1,8201/3
C10.1,8255/3
C10.1,8260/3
C10.1,8261/2
C10.1,8261/3
C10.1,8262/3
C10.1,8263/2
C10.1,8263/3
C10.1,8430/3
C10.1,8480/3
C10.1,8481/3
C10.1,8720/2
C10.1,8720/3
C10.1,8721/3
C10.1,8722/3
C10.1,8723/3
C10.1,8730/3
C10.1,8743/3
C10.1,8745/3
C10.1,8746/3
C10.1,8761/3
C10.1,8770/3
C10.1,8771/3
C10.1,8772/3
C10.1,8800/3
C10.1,8801/3
C10.1,8802/3
C10.1,8803/3
C10.1,8804/3
C10.1,8805/3
C10.1,8806/3
C10.1,8850/3
C10.1,8851/3
C10.1,8852/3
C10.1,8853/3
C10.1,8854/3
C10.1,8855/3
C10.1,8857/3
C10.1,8858/3
C10.1,8900/3
C10.1,8901/3
C10.1,8902/3
C10.1,8910/3
C10.1,8912/3
C10.1,8940/3
C10.1,8941/3
C10.1,8980/3
C10.1,8981/3
C10.1,8982/3
C10.1,9140/3
C10.1,9590/3
C10.1,9591/3
C10.1,9596/3
C10.1,9650/3
C10.1,9651/3
C10.1,9652/3
C10.1,9653/3
C10.1,9654/3
C10.1,9655/3
C10.1,9659/3
C10.1,9661/3
C10.1,9662/3
C10.1,9663/3
C10.1,9664/3
C10.1,9665/3
C10.1,9667/3
C10.1,9670/3
C10.1,9671/3
C10.1,9673/3
C10.1,9675/3
C10.1,9680/3
C10.1,9684/3
C10.1,9687/3
C10.1,9688/3
C10.1,9690/3
C10.1,9691/3
C10.1,9695/3
C10.1,9698/3
C10.1,9699/3
C10.1,9701/3
C10.1,9702/3
C10.1,9705/3
C10.1,9712/3
C10.1,9714/3
C10.1,9715/3
C10.1,9719/3
C10.1,9724/3
C10.1,9727/3
C10.1,9728/3
C10.1,9729/3
C10.1,9731/3
C10.1,9734/3
C10.1,9735/3
C10.1,9737/3
C10.1,9738/3
C10.1,9740/3
C10.1,9741/3
C10.1,9749/3
C10.1,9750/3
C10.1,9751/3
C10.1,9754/3
C10.1,9755/3
C10.1,9756/3
C10.1,9757/3
C10.1,9758/3
C10.1,9759/3
C10.1,9766/3
C10.1,9811/3
C10.1,9812/3
C10.1,9813/3
C10.1,9814/3
C10.1,9815/3
C10.1,9816/3
C10.1,9817/3
C10.1,9818/3
C10.1,9819/3
C10.1,9823/3
C10.1,9831/3
C10.1,9837/3
C10.1,9965/3
C10.1,9967/3
C10.1,9971/3
C10.1,9975/3
C10.2,8000/3
C10.2,8001/3
C10.2,8002/3
C10.2,8003/3
C10.2,8004/3
C10.2,8005/3
C10.2,8010/2
C10.2,8010/3
C10.2,8011/3
C10.2,8012/3
C10.2,8013/3
C10.2,8014/3
C10.2,8015/3
C10.2,8020/3
C10.2,8021/3
C10.2,8022/3
C10.2,8030/3
C10.2,8031/3
C10.2,8032/3
C10.2,8033/3
C10.2,8034/3
C10.2,8035/3
C10.2,8050/2
C10.2,8050/3
C10.2,8051/3
C10.2,8052/2
C10.2,8052/3
C10.2,8070/2
C10.2,8070/3
C10.2,8071/3
C10.2,8072/3
C10.2,8073/3
