icd10_code,icdo3_code
C10.2,8074/3
C10.2,8075/3
C10.2,8076/2
C10.2,8076/3
C10.2,8078/3
C10.2,8081/2
C10.2,8082/3
C10.2,8083/3
C10.2,8084/3
C10.2,8085/3
C10.2,8086/3
C10.2,8120/2
C10.2,8120/3
C10.2,8121/3
C10.2,8122/3
C10.2,8123/3
C10.2,8124/3
C10.2,8140/2
C10.2,8140/3
C10.2,8141/3
C10.2,8143/3
C10.2,8147/3
C10.2,8200/3
C10.2,8201/2
C10.2,8201/3
C10.2,8255/3
C10.2,8260/3
C10.2,8261/2
C10.2,8261/3
C10.2,8262/3
C10.2,8263/2
C10.2,8263/3
C10.2,8430/3
C10.2,8480/3
C10.2,8481/3
C10.2,8720/2
C10.2,8720/3
C10.2,8721/3
C10.2,8722/3
C10.2,8723/3
C10.2,8730/3
C10.2,8743/3
C10.2,8745/3
C10.2,8746/3
C10.2,8761/3
C10.2,8770/3
C10.2,8771/3
C10.2,8772/3
C10.2,8800/3
C10.2,8801/3
C10.2,8802/3
C10.2,8803/3
C10.2,8804/3
C10.2,8805/3
C10.2,8806/3
C10.2,8850/3
C10.2,8851/3
C10.2,8852/3
C10.2,8853/3
C10.2,8854/3
C10.2,8855/3
C10.2,8857/3
C10.2,8858/3
C10.2,8900/3
C10.2,8901/3
C10.2,8902/3
C10.2,8910/3
C10.2,8912/3
C10.2,8940/3
C10.2,8941/3
C10.2,8980/3
C10.2,8981/3
C10.2,8982/3
C10.2,9140/3
C10.2,9590/3
C10.2,9591/3
C10.2,9596/3
C10.2,9650/3
C10.2,9651/3
C10.2,9652/3
C10.2,9653/3
C10.2,9654/3
C10.2,9655/3
C10.2,9659/3
C10.2,9661/3
C10.2,9662/3
C10.2,9663/3
C10.2,9664/3
C10.2,9665/3
C10.2,9667/3
C10.2,9670/3
C10.2,9671/3
C10.2,9673/3
C10.2,9675/3
C10.2,9680/3
C10.2,9684/3
C10.2,9687/3
C10.2,9688/3
C10.2,9690/3
C10.2,9691/3
C10.2,9695/3
C10.2,9698/3
C10.2,9699/3
C10.2,9701/3
C10.2,9702/3
C10.2,9705/3
C10.2,9712/3
C10.2,9714/3
C10.2,9715/3
C10.2,9719/3
C10.2,9724/3
C10.2,9727/3
C10.2,9728/3
C10.2,9729/3
C10.2,9731/3
C10.2,9734/3
C10.2,9735/3
C10.2,9737/3
C10.2,9738/3
C10.2,9740/3
C10.2,9741/3
C10.2,9749/3
C10.2,9750/3
C10.2,9751/3
C10.2,9754/3
C10.2,9755/3
C10.2,9756/3
C10.2,9757/3
C10.2,9758/3
C10.2,9759/3
C10.2,9766/3
C10.2,9811/3
C10.2,9812/3
C10.2,9813/3
C10.2,9814/3
C10.2,9815/3
C10.2,9816/3
C10.2,9817/3
C10.2,9818/3
C10.2,9819/3
C10.2,9823/3
C10.2,9831/3
C10.2,9837/3
C10.2,9965/3
C10.2,9967/3
C10.2,9971/3
C10.2,9975/3
C10.3,8000/3
C10.3,8001/3
C10.3,8002/3
C10.3,8003/3
C10.3,8004/3
C10.3,8005/3
C10.3,8010/2
C10.3,8010/3
C10.3,8011/3
C10.3,8012/3
C10.3,8013/3
C10.3,8014/3
C10.3,8015/3
C10.3,8020/3
C10.3,8021/3
C10.3,8022/3
C10.3,8030/3
C10.3,8031/3
C10.3,8032/3
C10.3,8033/3
C10.3,8034/3
C10.3,8035/3
C10.3,8050/2
C10.3,8050/3
C10.3,8051/3
C10.3,8052/2
C10.3,8052/3
C10.3,8070/2
C10.3,8070/3
C10.3,8071/3
C10.3,8072/3
C10.3,8073/3
C10.3,8074/3
C10.3,8075/3
C10.3,8076/2
C10.3,8076/3
C10.3,8078/3
C10.3,8081/2
C10.3,8082/3
C10.3,8083/3
C10.3,8084/3
C10.3,8085/3
C10.3,8086/3
C10.3,8120/2
C10.3,8120/3
C10.3,8121/3
C10.3,8122/3
C10.3,8123/3
C10.3,8124/3
C10.3,8140/2
C10.3,8140/3
C10.3,8141/3
C10.3,8143/3
C10.3,8147/3
C10.3,8200/3
C10.3,8201/2
C10.3,8201/3
C10.3,8255/3
C10.3,8260/3
C10.3,8261/2
C10.3,8261/3
C10.3,8262/3
C10.3,8263/2
C10.3,8263/3
C10.3,8430/3
C10.3,8480/3
C10.3,8481/3
C10.3,8720/2
C10.3,8720/3
C10.3,8721/3
C10.3,8722/3
C10.3,8723/3
C10.3,8730/3
C10.3,8743/3
C10.3,8745/3
C10.3,8746/3
C10.3,8761/3
C10.3,8770/3
C10.3,8771/3
C10.3,8772/3
C10.3,8800/3
C10.3,8801/3
C10.3,8802/3
C10.3,8803/3
C10.3,8804/3
C10.3,8805/3
C10.3,8806/3
C10.3,8850/3
C10.3,8851/3
C10.3,8852/3
C10.3,8853/3
C10.3,8854/3
C10.3,8855/3
C10.3,8857/3
C10.3,8858/3
C10.3,8900/3
C10.3,8901/3
C10.3,8902/3
C10.3,8910/3
C10.3,8912/3
C10.3,8940/3
C10.3,8941/3
C10.3,8980/3
C10.3,8981/3
C10.3,8982/3
C10.3,9140/3
C10.3,9590/3
C10.3,9591/3
C10.3,9596/3
C10.3,9650/3
C10.3,9651/3
C10.3,9652/3
C10.3,9653/3
C10.3,9654/3
C10.3,9655/3
C10.3,9659/3
C10.3,9661/3
C10.3,9662/3
C10.3,9663/3
C10.3,9664/3
C10.3,9665/3
C10.3,9667/3
C10.3,9670/3
C10.3,9671/3
C10.3,9673/3
C10.3,9675/3
C10.3,9680/3
C10.3,9684/3
C10.3,9687/3
C10.3,9688/3
C10.3,9690/3
C10.3,9691/3
C10.3,9695/3
C10.3,9698/3
C10.3,9699/3
C10.3,9701/3
C10.3,9702/3
C10.3,9705/3
C10.3,9712/3
C10.3,9714/3
C10.3,9715/3
C10.3,9719/3
C10.3,9724/3
C10.3,9727/3
C10.3,9728/3
C10.3,9729/3
C10.3,9731/3
C10.3,9734/3
C10.3,9735/3
C10.3,9737/3
C10.3,9738/3
C10.3,9740/3
C10.3,9741/3
C10.3,9749/3
C10.3,9750/3
C10.3,9751/3
C10.3,9754/3
C10.3,9755/3
C10.3,9756/3
C10.3,9757/3
C10.3,9758/3
C10.3,9759/3
C10.3,9766/3
C10.3,9811/3
C10.3,9812/3
C10.3,9813/3
C10.3,9814/3
C10.3,9815/3
C10.3,9816/3
C10.3,9817/3
C10.3,9818/3
C10.3,9819/3
C10.3,9823/3
C10.3,9831/3
C10.3,9837/3
C10.3,9965/3
C10.3,9967/3
C10.3,9971/3
C10.3,9975/3
C10.4,8000/3
C10.4,8001/3
C10.4,8002/3
C10.4,8003/3
C10.4,8004/3
C10.4,8005/3
C10.4,8010/2
C10.4,8010/3
C10.4,8011/3
C10.4,8012/3
C10.4,8013/3
C10.4,8014/3
C10.4,8015/3
C10.4,8020/3
C10.4,8021/3
C10.4,8022/3
C10.4,8030/3
C10.4,8031/3
C10.4,8032/3
C10.4,8033/3
C10.4,8034/3
C10.4,8035/3
C10.4,8050/2
C10.4,8050/3
C10.4,8051/3
C10.4,8052/2
C10.4,8052/3
C10.4,8070/2
C10.4,8070/3
C10.4,8071/3
C10.4,8072/3
C10.4,8073/3
C10.4,8074/3
C10.4,8075/3
C10.4,8076/2
C10.4,8076/3
C10.4,8078/3
C10.4,8081/2
C10.4,8082/3
C10.4,8083/3
C10.4,8084/3
C10.4,8085/3
C10.4,8086/3
C10.4,8120/2
C10.4,8120/3
C10.4,8121/3
C10.4,8122/3
C10.4,8123/3
C10.4,8124/3
C10.4,8140/2
C10.4,8140/3
C10.4,8141/3
C10.4,8143/3
C10.4,8147/3
C10.4,8200/3
C10.4,8201/2
C10.4,8201/3
C10.4,8255/3
C10.4,8260/3
C10.4,8261/2
C10.4,8261/3
C10.4,8262/3
C10.4,8263/2
C10.4,8263/3
C10.4,8430/3
C10.4,8480/3
C10.4,8481/3
C10.4,8720/2
C10.4,8720/3
C10.4,8721/3
C10.4,8722/3
C10.4,8723/3
C10.4,8730/3
C10.4,8743/3
C10.4,8745/3
C10.4,8746/3
C10.4,8761/3
C10.4,8770/3
C10.4,8771/3
C10.4,8772/3
C10.4,8800/3
C10.4,8801/3
C10.4,8802/3
C10.4,8803/3
C10.4,8804/3
C10.4,8805/3
C10.4,8806/3
C10.4,8850/3
C10.4,8851/3
C10.4,8852/3
C10.4,8853/3
C10.4,8854/3
C10.4,8855/3
C10.4,8857/3
C10.4,8858/3
C10.4,8900/3
C10.4,8901/3
C10.4,8902/3
C10.4,8910/3
C10.4,8912/3
C10.4,8940/3
C10.4,8941/3
C10.4,8980/3
C10.4,8981/3
C10.4,8982/3
C10.4,9140/3
C10.4,9590/3
C10.4,9591/3
C10.4,9596/3
C10.4,9650/3
C10.4,9651/3
C10.4,9652/3
C10.4,9653/3
C10.4,9654/3
C10.4,9655/3
C10.4,9659/3
C10.4,9661/3
C10.4,9662/3
C10.4,9663/3
C10.4,9664/3
C10.4,9665/3
C10.4,9667/3
C10.4,9670/3
C10.4,9671/3
C10.4,9673/3
C10.4,9675/3
C10.4,9680/3
C10.4,9684/3
C10.4,9687/3
C10.4,9688/3
C10.4,9690/3
C10.4,9691/3
C10.4,9695/3
C10.4,9698/3
C10.4,9699/3
C10.4,9701/3
C10.4,9702/3
C10.4,9705/3
C10.4,9712/3
C10.4,9714/3
C10.4,9715/3
C10.4,9719/3
C10.4,9724/3
C10.4,9727/3
C10.4,9728/3
C10.4,9729/3
C10.4,9731/3
C10.4,9734/3
C10.4,9735/3
C10.4,9737/3
C10.4,9738/3
C10.4,9740/3
C10.4,9741/3
C10.4,9749/3
C10.4,9750/3
C10.4,9751/3
C10.4,9754/3
C10.4,9755/3
C10.4,9756/3
C10.4,9757/3
C10.4,9758/3
C10.4,9759/3
C10.4,9766/3
C10.4,9811/3
C10.4,9812/3
C10.4,9813/3
C10.4,9814/3
C10.4,9815/3
C10.4,9816/3
C10.4,9817/3
C10.4,9818/3
C10.4,9819/3
C10.4,9823/3
C10.4,9831/3
C10.4,9837/3
C10.4,9965/3
C10.4,9967/3
C10.4,9971/3
C10.4,9975/3
C10.8,8000/3
C10.8,8001/3
C10.8,8002/3
C10.8,8003/3
C10.8,8004/3
C10.8,8005/3
C10.8,8010/2
C10.8,8010/3
C10.8,8011/3
C10.8,8012/3
C10.8,8013/3
C10.8,8014/3
C10.8,8015/3
C10.8,8020/3
C10.8,8021/3
C10.8,8022/3
C10.8,8030/3
C10.8,8031/3
C10.8,8032/3
C10.8,8033/3
C10.8,8034/3
C10.8,8035/3
C10.8,8050/2
C10.8,8050/3
C10.8,8051/3
C10.8,8052/2
C10.8,8052/3
C10.8,8070/2
C10.8,8070/3
C10.8,8071/3
C10.8,8072/3
C10.8,8073/3
C10.8,8074/3
C10.8,8075/3
C10.8,8076/2
C10.8,8076/3
C10.8,8078/3
C10.8,8081/2
C10.8,8082/3
C10.8,8083/3
C10.8,8084/3
C10.8,8085/3
C10.8,8086/3
C10.8,8120/2
C10.8,8120/3
C10.8,8121/3
C10.8,8122/3
C10.8,8123/3
C10.8,8124/3
C10.8,8140/2
C10.8,8140/3
C10.8,8141/3
C10.8,8143/3
C10.8,8147/3
C10.8,8200/3
C10.8,8201/2
C10.8,8201/3
C10.8,8255/3
C10.8,8260/3
C10.8,8261/2
C10.8,8261/3
C10.8,8262/3
C10.8,8263/2
C10.8,8263/3
C10.8,8430/3
C10.8,8480/3
C10.8,8481/3
C10.8,8720/2
C10.8,8720/3
C10.8,8721/3
C10.8,8722/3
C10.8,8723/3
C10.8,8730/3
C10.8,8743/3
C10.8,8745/3
C10.8,8746/3
C10.8,8761/3
C10.8,8770/3
C10.8,8771/3
C10.8,8772/3
C10.8,8800/3
C10.8,8801/3
C10.8,8802/3
C10.8,8803/3
C10.8,8804/3
C10.8,8805/3
C10.8,8806/3
C10.8,8850/3
C10.8,8851/3
C10.8,8852/3
C10.8,8853/3
C10.8,8854/3
C10.8,8855/3
C10.8,8857/3
C10.8,8858/3
C10.8,8900/3
C10.8,8901/3
C10.8,8902/3
C10.8,8910/3
C10.8,8912/3
C10.8,8940/3
C10.8,8941/3
C10.8,8980/3
C10.8,8981/3
C10.8,8982/3
C10.8,9140/3
C10.8,9590/3
C10.8,9591/3
C10.8,9596/3
C10.8,9650/3
C10.8,9651/3
C10.8,9652/3
C10.8,9653/3
C10.8,9654/3
C10.8,9655/3
C10.8,9659/3
C10.8,9661/3
C10.8,9662/3
C10.8,9663/3
C10.8,9664/3
C10.8,9665/3
C10.8,9667/3
C10.8,9670/3
C10.8,9671/3
C10.8,9673/3
C10.8,9675/3
C10.8,9680/3
C10.8,9684/3
C10.8,9687/3
C10.8,9688/3
C10.8,9690/3
C10.8,9691/3
C10.8,9695/3
C10.8,9698/3
C10.8,9699/3
C10.8,9701/3
C10.8,9702/3
C10.8,9705/3
C10.8,9712/3
C10.8,9714/3
C10.8,9715/3
C10.8,9719/3
C10.8,9724/3
C10.8,9727/3
C10.8,9728/3
C10.8,9729/3
C10.8,9731/3
C10.8,9734/3
C10.8,9735/3
C10.8,9737/3
C10.8,9738/3
C10.8,9740/3
C10.8,9741/3
C10.8,9749/3
C10.8,9750/3
C10.8,9751/3
C10.8,9754/3
C10.8,9755/3
C10.8,9756/3
C10.8,9757/3
C10.8,9758/3
C10.8,9759/3
C10.8,9766/3
C10.8,9811/3
C10.8,9812/3
C10.8,9813/3
C10.8,9814/3
C10.8,9815/3
C10.8,9816/3
C10.8,9817/3
C10.8,9818/3
C10.8,9819/3
C10.8,9823/3
C10.8,9831/3
C10.8,9837/3
C10.8,9965/3
C10.8,9967/3
C10.8,9971/3
C10.8,9975/3
C10.9,8000/3
C10.9,8001/3
C10.9,8002/3
C10.9,8003/3
C10.9,8004/3
C10.9,8005/3
C10.9,8010/2
C10.9,8010/3
C10.9,8011/3
C10.9,8012/3
C10.9,8013/3
C10.9,8014/3
C10.9,8015/3
C10.9,8020/3
C10.9,8021/3
C10.9,8022/3
C10.9,8030/3
C10.9,8031/3
C10.9,8032/3
C10.9,8033/3
C10.9,8034/3
C10.9,8035/3
C10.9,8050/2
C10.9,8050/3
C10.9,8051/3
C10.9,8052/2
C10.9,8052/3
C10.9,8070/2
C10.9,8070/3
C10.9,8071/3
C10.9,8072/3
C10.9,8073/3
C10.9,8074/3
C10.9,8075/3
C10.9,8076/2
C10.9,8076/3
C10.9,8078/3
C10.9,8081/2
C10.9,8082/3
C10.9,8083/3
C10.9,8084/3
C10.9,8085/3
C10.9,8086/3
C10.9,8120/2
C10.9,8120/3
C10.9,8121/3
C10.9,8122/3
C10.9,8123/3
C10.9,8124/3
C10.9,8140/2
C10.9,8140/3
C10.9,8141/3
C10.9,8143/3
C10.9,8147/3
C10.9,8200/3
C10.9,8201/2
C10.9,8201/3
C10.9,8255/3
C10.9,8260/3
C10.9,8261/2
C10.9,8261/3
C10.9,8262/3
C10.9,8263/2
C10.9,8263/3
C10.9,8430/3
C10.9,8480/3
C10.9,8481/3
C10.9,8720/2
C10.9,8720/3
C10.9,8721/3
C10.9,8722/3
C10.9,8723/3
C10.9,8730/3
C10.9,8743/3
C10.9,8745/3
C10.9,8746/3
C10.9,8761/3
C10.9,8770/3
C10.9,8771/3
C10.9,8772/3
C10.9,8800/3
C10.9,8801/3
C10.9,8802/3
C10.9,8803/3
C10.9,8804/3
C10.9,8805/3
C10.9,8806/3
C10.9,8850/3
C10.9,8851/3
C10.9,8852/3
C10.9,8853/3
C10.9,8854/3
C10.9,8855/3
C10.9,8857/3
C10.9,8858/3
C10.9,8900/3
C10.9,8901/3
C10.9,8902/3
C10.9,8910/3
C10.9,8912/3
C10.9,8940/3
C10.9,8941/3
C10.9,8980/3
C10.9,8981/3
C10.9,8982/3
C10.9,9140/3
C10.9,9590/3
C10.9,9591/3
C10.9,9596/3
C10.9,9650/3
C10.9,9651/3
C10.9,9652/3
C10.9,9653/3
C10.9,9654/3
C10.9,9655/3
C10.9,9659/3
C10.9,9661/3
C10.9,9662/3
C10.9,9663/3
C10.9,9664/3
C10.9,9665/3
C10.9,9667/3
C10.9,9670/3
C10.9,9671/3
C10.9,9673/3
C10.9,9675/3
C10.9,9680/3
C10.9,9684/3
C10.9,9687/3
C10.9,9688/3
C10.9,9690/3
C10.9,9691/3
C10.9,9695/3
C10.9,9698/3
C10.9,9699/3
C10.9,9701/3
C10.9,9702/3
C10.9,9705/3
C10.9,9712/3
C10.9,9714/3
C10.9,9715/3
C10.9,9719/3
C10.9,9724/3
C10.9,9727/3
C10.9,9728/3
C10.9,9729/3
C10.9,9731/3
C10.9,9734/3
C10.9,9735/3
C10.9,9737/3
C10.9,9738/3
C10.9,9740/3
C10.9,9741/3
C10.9,9749/3
C10.9,9750/3
C10.9,9751/3
C10.9,9754/3
C10.9,9755/3
C10.9,9756/3
C10.9,9757/3
C10.9,9758/3
C10.9,9759/3
C10.9,9766/3
C10.9,9811/3
C10.9,9812/3
C10.9,9813/3
C10.9,9814/3
C10.9,9815/3
C10.9,9816/3
C10.9,9817/3
C10.9,9818/3
C10.9,9819/3
C10.9,9823/3
C10.9,9831/3
C10.9,9837/3
C10.9,9965/3
C10.9,9967/3
C10.9,9971/3
C10.9,9975/3
C11,8000/3
