icd11Code,icd11Chapter,icd11Title,icd10Code,icd10Chapter,icd10Title
1A11,01,Botulism,A05.1,I,Botulism
1A11.0,01,Foodborne intoxication by botulinum toxin,A05.1,I,Botulism
1A11.1,01,Other forms of botulism,A05.1,I,Botulism
1A11.Z,01,"Botulism, unspecified",A05.1,I,Botulism
1A12,01,Foodborne Clostridium perfringens intoxication,A05.2,I,Foodborne Clostridium perfringens [Clostridium welchii] intoxication
1A13,01,Foodborne Bacillus cereus intoxication,A05.4,I,Foodborne Bacillus cereus intoxication
1A1Y,01,Other specified bacterial foodborne intoxications,A05.9,I,"Bacterial foodborne intoxication, unspecified"
1A1Z,01,"Bacterial foodborne intoxications, unspecified",A05.9,I,"Bacterial foodborne intoxication, unspecified"
1A20,01,Enteritis due to Adenovirus,A08.2,I,Adenoviral enteritis
1A21,01,Gastroenteritis due to Astrovirus,A08.3,I,Other viral enteritis
1A22,01,Gastroenteritis due to Rotavirus,A08.0,I,Rotaviral enteritis
1A23,01,Enteritis due to Norovirus,A08.1,I,Acute gastroenteropathy due to Norovirus
1A24,01,Intestinal infections due to Cytomegalovirus,A08.5,I,Other specified intestinal infections
1A2Y,01,Other specified viral intestinal infections,A08,I,Viral and other specified intestinal infections
1A2Z,01,"Viral intestinal infections, unspecified",A08,I,Viral and other specified intestinal infections
1A30,01,Infections due to Balantidium coli,A07.0,I,Balantidiasis
1A31,01,Giardiasis,A07.1,I,Giardiasis [lambliasis]
1A32,01,Cryptosporidiosis,A07.2,I,Cryptosporidiosis
1A33,01,Cystoisosporiasis,A07.3,I,Isosporiasis
1A33.0,01,Cystoisosporiasis of small intestine,A07.3,I,Isosporiasis
1A33.1,01,Cystoisosporiasis of colon,A07.3,I,Isosporiasis
1A33.Y,01,Other specified cystoisosporiasis,A07.3,I,Isosporiasis
1A33.Z,01,"Cystoisosporiasis, unspecified",A07.3,I,Isosporiasis
1A34,01,Sarcocystosis,A07.8,I,Other specified protozoal intestinal diseases
1A35,01,Blastocystosis,A07.8,I,Other specified protozoal intestinal diseases
1A36,01,Amoebiasis,A06.9,I,"Amoebiasis, unspecified"
1A36.0,01,Intestinal infections due to Entamoeba,A07.8,I,Other specified protozoal intestinal diseases
1A36.00,01,Acute amoebiasis,A06.0,I,Acute amoebic dysentery
1A36.01,01,Amoeboma of intestine,A06.3,I,Amoeboma of intestine
1A36.0Y,01,Other specified intestinal infections due to Entamoeba,A07.8,I,Other specified protozoal intestinal diseases
1A36.0Z,01,"Intestinal infections due to Entamoeba, unspecified",A07.8,I,Other specified protozoal intestinal diseases
1A36.1,01,Extraintestinal infections due to Entamoeba,A06.9,I,"Amoebiasis, unspecified"
1A36.10,01,Amoebic liver abscess,A06.4,I,Amoebic liver abscess
1A36.11,01,Amoebic lung abscess,A06.5,I,Amoebic lung abscess
1A36.12,01,Cutaneous amoebiasis,A06.7,I,Cutaneous amoebiasis
1A36.1Y,01,Amoebiasis of other specified sites,A06.9,I,"Amoebiasis, unspecified"
1A36.Z,01,"Amoebiasis, unspecified",A06.9,I,"Amoebiasis, unspecified"
1A3Y,01,Other specified protozoal intestinal infections,A07.9,I,"Protozoal intestinal disease, unspecified"
1A3Z,01,"Protozoal intestinal infections, unspecified",A07.9,I,"Protozoal intestinal disease, unspecified"
1A40,01,Gastroenteritis or colitis without specification of infectious agent,A09,I,Other gastroenteritis and colitis of infectious and unspecified origin
1A40.0,01,Gastroenteritis or colitis without specification of origin,A09.9,I,Gastroenteritis and colitis of unspecified origin
1A40.Z,01,Infectious gastroenteritis or colitis without specification of infectious agent,A09,I,Other gastroenteritis and colitis of infectious and unspecified origin
1A60,01,Congenital syphilis,A50,I,Congenital syphilis
1A60.0,01,"Early congenital syphilis, symptomatic",A50.0,I,"Early congenital syphilis, symptomatic"
1A60.1,01,"Early congenital syphilis, latent",A50.1,I,"Early congenital syphilis, latent"
1A60.2,01,Late congenital syphilitic oculopathy,A50.3,I,Late congenital syphilitic oculopathy
1A60.3,01,Late congenital neurosyphilis,A50.4,I,Late congenital neurosyphilis [juvenile neurosyphilis]
1A60.4,01,"Other late congenital syphilis, symptomatic",A50,I,Congenital syphilis
1A60.5,01,"Late congenital syphilis, latent",A50.6,I,"Late congenital syphilis, latent"
1A60.Z,01,"Congenital syphilis, unspecified",A50,I,Congenital syphilis
1A61,01,Early syphilis,A51,I,Early syphilis
1A61.0,01,Primary genital syphilis,A51.0,I,Primary genital syphilis
1A61.1,01,Primary anal syphilis,A51.1,I,Primary anal syphilis
1A61.2,01,Primary syphilis of other sites,A51.2,I,Primary syphilis of other sites
1A61.3,01,Secondary syphilis of skin or mucous membranes,A51.3,I,Secondary syphilis of skin and mucous membranes
1A61.4,01,Secondary syphilis of other sites,A51.4,I,Other secondary syphilis
1A61.5,01,Latent early syphilis,A51.5,I,"Early syphilis, latent"
1A61.Y,01,Other specified early syphilis,A51,I,Early syphilis
1A61.Z,01,"Early syphilis, unspecified",A51,I,Early syphilis
1A62,01,Late syphilis,A52,I,Late syphilis
1A62.0,01,Neurosyphilis,A52,I,Late syphilis
1A62.00,01,Asymptomatic neurosyphilis,A52.2,I,Asymptomatic neurosyphilis
1A62.01,01,Symptomatic late neurosyphilis,A52.1,I,Symptomatic neurosyphilis
1A62.0Z,01,"Neurosyphilis, unspecified",A52,I,Late syphilis
1A62.1,01,Cardiovascular late syphilis,A52.0,I,Cardiovascular syphilis
1A62.2,01,Symptomatic late syphilis of other sites,A52.7,I,Other symptomatic late syphilis
1A62.20,01,Ocular late syphilis,A52.7,I,Other symptomatic late syphilis
1A62.21,01,Late syphilis involving the musculoskeletal system,A52.7,I,Other symptomatic late syphilis
1A62.22,01,Late syphilis of skin or mucous membranes,A52.7,I,Other symptomatic late syphilis
1A62.2Y,01,Symptomatic late syphilis of other specified sites,A52.7,I,Other symptomatic late syphilis
1A62.2Z,01,Symptomatic late syphilis of unspecified site,A52.7,I,Other symptomatic late syphilis
1A62.Y,01,Other specified late syphilis,A52.8,I,"Late syphilis, latent"
1A62.Z,01,"Late syphilis, unspecified",A52,I,Late syphilis
1A63,01,"Latent syphilis, unspecified as early or late",A53.0,I,"Latent syphilis, unspecified as early or late"
1A6Z,01,"Syphilis, unspecified",A50-A64,I,Infections with a predominantly sexual mode of transmission
1A70,01,Gonococcal genitourinary infection,A54,I,Gonococcal infection
1A70.0,01,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess,A54.0,I,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess
1A70.00,01,Gonorrhoea of penis,A54.0,I,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess
1A70.0Y,01,Other specified gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess,A54.0,I,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess
1A70.0Z,01,"Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess, unspecified",A54.0,I,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess
1A70.1,01,Gonococcal infection of lower genitourinary tract with periurethral or accessory gland abscess,A54.1,I,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess
1A70.Y,01,Gonococcal infection of other specified genitourinary organ,A54,I,Gonococcal infection
1A70.Z,01,"Gonococcal genitourinary infection, unspecified",A54,I,Gonococcal infection
1A71,01,Gonococcal pelviperitonitis,A54,I,Gonococcal infection
1A72,01,Gonococcal infection of other sites,A54,I,Gonococcal infection
1A72.0,01,Gonococcal infection of musculoskeletal system,A54.4,I,Gonococcal infection of musculoskeletal system
1A72.1,01,Gonococcal infection of rectum,A54.6,I,Gonococcal infection of anus and rectum
1A72.2,01,Gonococcal infection of anus,A54.6,I,Gonococcal infection of anus and rectum
1A72.3,01,Gonococcal pharyngitis,A54.5,I,Gonococcal pharyngitis
1A72.4,01,Gonococcal infection of eye,A54.3,I,Gonococcal infection of eye
1A72.Y,01,Gonococcal infection of other specified sites,A54,I,Gonococcal infection
1A73,01,Disseminated gonococcal infection,A54,I,Gonococcal infection
1A7Z,01,"Gonococcal infection, unspecified",A54,I,Gonococcal infection
1A80,01,Chlamydial lymphogranuloma,A55,I,Chlamydial lymphogranuloma (venereum)
1A81,01,Non-ulcerative sexually transmitted chlamydial infection,A56,I,Other sexually transmitted chlamydial diseases
1A81.0,01,Chlamydial infection of lower genitourinary tract,A56.0,I,Chlamydial infection of lower genitourinary tract
1A81.1,01,Chlamydial infection of internal reproductive organs,A56.1,I,Chlamydial infection of pelviperitoneum and other genitourinary organs
1A81.Y,01,Non-ulcerative sexually transmitted chlamydial infection of other specified site,A56.8,I,Sexually transmitted chlamydial infection of other sites
1A81.Z,01,Non-ulcerative sexually transmitted chlamydial infection of unspecified site,A56,I,Other sexually transmitted chlamydial diseases
1A8Y,01,Other specified sexually transmissible infections due to chlamydia,A50-A64,I,Infections with a predominantly sexual mode of transmission
1A8Z,01,"Sexually transmissible infections due to chlamydia, unspecified",A50-A64,I,Infections with a predominantly sexual mode of transmission
1A90,01,Chancroid,A57,I,Chancroid
1A91,01,Granuloma inguinale,A58,I,Granuloma inguinale
1A92,01,Trichomoniasis,A59,I,Trichomoniasis
1A93,01,Sexually transmissible infestations,A63.8,I,Other specified predominantly sexually transmitted diseases
1A94,01,Anogenital herpes simplex infection,A60,I,Anogenital herpesviral [herpes simplex] infection
1A94.0,01,Herpes simplex infection of genitalia or urogenital tract,A60.0,I,Herpesviral infection of genitalia and urogenital tract
1A94.1,01,Herpes simplex infection of perianal skin or rectum,A60.1,I,Herpesviral infection of perianal skin and rectum
1A94.Z,01,Anogenital herpes simplex infection without further specification,A60,I,Anogenital herpesviral [herpes simplex] infection
1A95,01,Anogenital warts,A63.0,I,Anogenital (venereal) warts
1A95.0,01,Anal warts,A63.0,I,Anogenital (venereal) warts
1A95.1,01,Genital warts,A63.0,I,Anogenital (venereal) warts
1A95.2,01,Extragenital condylomata acuminata,A63.0,I,Anogenital (venereal) warts
1A95.Z,01,"Anogenital warts, unspecified",A63.0,I,Anogenital (venereal) warts
1A9Y,01,Other specified predominantly sexually transmitted infections,A50-A64,I,Infections with a predominantly sexual mode of transmission
1A9Z,01,"Predominantly sexually transmitted infections, unspecified",A50-A64,I,Infections with a predominantly sexual mode of transmission
1B10,01,Tuberculosis of the respiratory system,A16,I,"Respiratory tuberculosis, not confirmed bacteriologically or histologically"
1B10.0,01,"Respiratory tuberculosis, confirmed",A15,I,"Respiratory tuberculosis, bacteriologically and histologically confirmed"
1B10.1,01,"Respiratory tuberculosis, not confirmed",A16,I,"Respiratory tuberculosis, not confirmed bacteriologically or histologically"
1B10.Z,01,"Respiratory tuberculosis, without mention of bacteriological or histological confirmation",A16,I,"Respiratory tuberculosis, not confirmed bacteriologically or histologically"
1B11,01,Tuberculosis of the nervous system,A17.9,I,"Tuberculosis of nervous system, unspecified"
1B11.0,01,Tuberculous meningitis,A17.0,I,Tuberculous meningitis
1B11.1,01,Tuberculous meningoencephalitis,A17.8,I,Other tuberculosis of nervous system
1B11.2,01,Meningeal tuberculoma,A17.1,I,Meningeal tuberculoma
1B11.3,01,Tuberculous granuloma of brain,A17.9,I,"Tuberculosis of nervous system, unspecified"
1B11.Y,01,Other tuberculosis of nervous system,A17.9,I,"Tuberculosis of nervous system, unspecified"
1B11.Z,01,"Tuberculosis of the nervous system, unspecified",A17.9,I,"Tuberculosis of nervous system, unspecified"
1B12,01,Tuberculosis of other systems or organs,A18,I,Tuberculosis of other organs
1B12.0,01,Tuberculosis of heart,A18,I,Tuberculosis of other organs
1B12.1,01,Tuberculosis of eye,A18.5,I,Tuberculosis of eye
1B12.2,01,Tuberculosis of ear,A18.6,I,Tuberculosis of ear
1B12.3,01,Tuberculosis of endocrine glands,A18,I,Tuberculosis of other organs
1B12.4,01,Tuberculosis of the musculoskeletal system,A18,I,Tuberculosis of other organs
1B12.40,01,Tuberculosis of bones or joints,M90.0,XIII,Tuberculosis of bone
1B12.41,01,Tuberculous myositis,A18,I,Tuberculosis of other organs
1B12.4Y,01,Tuberculosis of other specified part of the musculoskeletal system,A18,I,Tuberculosis of other organs
1B12.4Z,01,"Tuberculosis of the musculoskeletal system, unspecified",A18,I,Tuberculosis of other organs
1B12.5,01,Tuberculosis of the genitourinary system,A18.1,I,Tuberculosis of genitourinary system
1B12.6,01,Tuberculous peripheral lymphadenopathy,A18.2,I,Tuberculous peripheral lymphadenopathy
1B12.7,01,Tuberculosis of the digestive system,K93.0,XI,"Tuberculous disorders of intestines, peritoneum and mesenteric glands"
1B12.8,01,Cutaneous tuberculosis,A18.4,I,Tuberculosis of skin and subcutaneous tissue
1B12.Y,01,Tuberculosis of other specified organ or site,A18.8,I,Tuberculosis of other specified organs
1B13,01,Miliary tuberculosis,A19,I,Miliary tuberculosis
1B13.0,01,Acute miliary tuberculosis of a single specified site,A19.0,I,Acute miliary tuberculosis of a single specified site
1B13.1,01,Acute miliary tuberculosis of multiple sites,A19.1,I,Acute miliary tuberculosis of multiple sites
1B13.2,01,"Acute miliary tuberculosis, unspecified site",A19,I,Miliary tuberculosis
1B13.Y,01,Other specified miliary tuberculosis,A19.8,I,Other miliary tuberculosis
1B13.Z,01,"Miliary tuberculosis, unspecified",A19,I,Miliary tuberculosis
1B14,01,Latent tuberculosis,Z22.7,XXI,Latent tuberculosis
1B1Y,01,Other specified tuberculosis,A15-A19,I,Tuberculosis
1B1Z,01,"Tuberculosis, unspecified",A15-A19,I,Tuberculosis
1B20,01,Leprosy,A30,I,Leprosy [Hansen disease]
1B20.0,01,Paucibacillary leprosy,A30,I,Leprosy [Hansen disease]
1B20.1,01,Multibacillary leprosy,A30,I,Leprosy [Hansen disease]
1B20.2,01,Leprosy reactions,A30,I,Leprosy [Hansen disease]
1B20.20,01,Type I leprosy reaction,A30,I,Leprosy [Hansen disease]
1B20.21,01,Type II leprosy reaction,A30,I,Leprosy [Hansen disease]
1B20.3,01,Complications of leprosy,A30,I,Leprosy [Hansen disease]
1B20.Z,01,"Leprosy, unspecified",A30,I,Leprosy [Hansen disease]
1B21,01,Infections due to non-tuberculous mycobacteria,A31,I,Infection due to other mycobacteria
1B21.0,01,Pulmonary infection due to non-tuberculous mycobacterium,A31.0,I,Pulmonary mycobacterial infection
1B21.1,01,Non-tuberculous mycobacterial lymphadenitis,A31,I,Infection due to other mycobacteria
1B21.2,01,Cutaneous non-tuberculous mycobacterial infection,A31,I,Infection due to other mycobacteria
1B21.20,01,Mycobacterium ulcerans infection,A31,I,Infection due to other mycobacteria
1B21.2Y,01,Cutaneous infection due to other specified non-tuberculous mycobacteria,A31,I,Infection due to other mycobacteria
1B21.2Z,01,Cutaneous infection due to unspecified non-tuberculous mycobacteria,A31,I,Infection due to other mycobacteria
1B21.3,01,Disseminated non-tuberculous mycobacterial infection,A31,I,Infection due to other mycobacteria
1B21.4,01,Gastrointestinal non-tuberculous mycobacterial infection,A31,I,Infection due to other mycobacteria
1B21.Y,01,Non-tuberculous mycobacterial infection of other specified site,A31.8,I,Other mycobacterial infections
1B21.Z,01,Non-tuberculous mycobacterial infection of unspecified site,A31,I,Infection due to other mycobacteria
1B2Y,01,Other specified mycobacterial diseases,I,I,Certain infectious and parasitic diseases
1B2Z,01,"Mycobacterial diseases, unspecified",I,I,Certain infectious and parasitic diseases
1B40,01,Acute rheumatic fever without mention of heart involvement,I00,IX,Rheumatic fever without mention of heart involvement
1B40.0,01,"Rheumatic arthritis, acute or subacute",I00,IX,Rheumatic fever without mention of heart involvement
1B40.Y,01,Other specified acute rheumatic fever without mention of heart involvement,I00,IX,Rheumatic fever without mention of heart involvement
1B40.Z,01,"Acute rheumatic fever without mention of heart involvement, unspecified",I00,IX,Rheumatic fever without mention of heart involvement
1B41,01,Acute rheumatic fever with heart involvement,I01,IX,Rheumatic fever with heart involvement
1B41.0,01,Acute rheumatic pericarditis,I01.0,IX,Acute rheumatic pericarditis
1B41.1,01,Acute rheumatic endocarditis,I01.1,IX,Acute rheumatic endocarditis
1B41.10,01,Rheumatic aortitis,I01.1,IX,Acute rheumatic endocarditis
1B41.1Y,01,Other specified acute rheumatic endocarditis,I01.1,IX,Acute rheumatic endocarditis
1B41.1Z,01,"Acute rheumatic endocarditis, unspecified",I01.1,IX,Acute rheumatic endocarditis
1B41.2,01,Acute rheumatic myocarditis,I01.2,IX,Acute rheumatic myocarditis
1B41.Y,01,Other acute rheumatic heart disease,I01.8,IX,Other acute rheumatic heart disease
1B41.Z,01,"Acute rheumatic heart disease, unspecified",I01,IX,Rheumatic fever with heart involvement
1B42,01,Rheumatic chorea,I02,IX,Rheumatic chorea
1B50,01,Scarlet fever,A38,I,Scarlet fever
1B51,01,Streptococcal pharyngitis,J02.0,X,Streptococcal pharyngitis
1B53,01,Meningitis due to Streptococcus,G00.2,VI,Streptococcal meningitis
1B54,01,Meningitis due to Staphylococcus,G00.3,VI,Staphylococcal meningitis
1B5Y,01,Other specified staphylococcal or streptococcal diseases,I,I,Certain infectious and parasitic diseases
1B5Z,01,"Staphylococcal or streptococcal diseases, unspecified",I,I,Certain infectious and parasitic diseases
1B70,01,"Bacterial cellulitis, erysipelas or lymphangitis",No Mapping,,
1B70.0,01,Erysipelas,A46,I,Erysipelas
1B70.00,01,Erysipelas of face,A46,I,Erysipelas
1B70.01,01,Erysipelas of external ear,A46,I,Erysipelas
1B70.02,01,Erysipelas of lower limb,A46,I,Erysipelas
1B70.0Y,01,Erysipelas of other specified site,A46,I,Erysipelas
1B70.0Z,01,"Erysipelas, unspecified",A46,I,Erysipelas
1B70.1,01,Streptococcal cellulitis of skin,L03,XII,Cellulitis
1B70.2,01,Staphylococcal cellulitis of skin,L03,XII,Cellulitis
1B70.3,01,Ascending bacterial lymphangitis,No Mapping,,
1B70.Y,01,Bacterial cellulitis or lymphangitis due to other specified bacterium,No Mapping,,
1B70.Z,01,Bacterial cellulitis or lymphangitis due to unspecified bacterium,No Mapping,,
1B71,01,Necrotising fasciitis,M72.6,XIII,Necrotizing fasciitis
1B71.0,01,Streptococcal necrotising fasciitis,M72.6,XIII,Necrotizing fasciitis
1B71.1,01,Polymicrobial necrotising fasciitis,M72.6,XIII,Necrotizing fasciitis
1B71.2,01,Neonatal necrotising fasciitis,M72.6,XIII,Necrotizing fasciitis
1B71.Y,01,Necrotising fasciitis due to other specified bacterial infection,M72.6,XIII,Necrotizing fasciitis
1B71.Z,01,"Necrotising fasciitis, unspecified",M72.6,XIII,Necrotizing fasciitis
1B72,01,Impetigo,L01,XII,Impetigo
1B72.0,01,Bullous impetigo,L01,XII,Impetigo
1B72.1,01,Non-bullous impetigo,L01,XII,Impetigo
1B72.2,01,Secondary impetiginisation of the skin,L01.1,XII,Impetiginization of other dermatoses
1B72.Y,01,Other specified impetigo,L01,XII,Impetigo
1B72.Z,01,"Impetigo, unspecified",L01,XII,Impetigo
1B73,01,Ecthyma,B08.0,I,Other orthopoxvirus infections
1B73.0,01,Streptococcal ecthyma,B08.0,I,Other orthopoxvirus infections
1B73.1,01,Staphylococcal ecthyma,B08.0,I,Other orthopoxvirus infections
1B73.2,01,Ecthyma gangrenosum,B08.0,I,Other orthopoxvirus infections
1B73.Y,01,Other specified ecthyma,B08.0,I,Other orthopoxvirus infections
1B73.Z,01,"Ecthyma, unspecified",B08.0,I,Other orthopoxvirus infections
1B74,01,Superficial bacterial folliculitis,No Mapping,,
1B74.0,01,Staphylococcus aureus superficial folliculitis,No Mapping,,
1B74.Y,01,Superficial bacterial folliculitis due to other specified organism,No Mapping,,
1B74.Z,01,Superficial bacterial folliculitis due to unspecified organism,No Mapping,,
1B75,01,Deep bacterial folliculitis or pyogenic abscess of the skin,No Mapping,,
1B75.0,01,Furuncle,L02,XII,"Cutaneous abscess, furuncle and carbuncle"
1B75.1,01,Carbuncle,L02,XII,"Cutaneous abscess, furuncle and carbuncle"
1B75.2,01,Furunculosis,L02,XII,"Cutaneous abscess, furuncle and carbuncle"
1B75.3,01,Pyogenic abscess of the skin,L02,XII,"Cutaneous abscess, furuncle and carbuncle"
1B75.4,01,Chronic deep bacterial folliculitis,No Mapping,,
1B75.Z,01,"Deep bacterial folliculitis or pyogenic abscess of the skin, unspecified",No Mapping,,
1B7Y,01,Other specified pyogenic bacterial infection of skin or subcutaneous tissue,No Mapping,,
1B7Z,01,"Pyogenic bacterial infection of skin or subcutaneous tissue, unspecified",No Mapping,,
1B90,01,Rat-bite fevers,A25,I,Rat-bite fevers
1B90.0,01,Spirillosis,A25.0,I,Spirillosis
1B90.1,01,Streptobacillosis,A25.1,I,Streptobacillosis
1B90.Y,01,Other specified rat-bite fevers,A25,I,Rat-bite fevers
1B90.Z,01,"Rat-bite fevers, unspecified",A25,I,Rat-bite fevers
1B91,01,Leptospirosis,A27,I,Leptospirosis
1B92,01,Glanders,A24.0,I,Glanders
1B93,01,Plague,A20,I,Plague
1B93.0,01,Bubonic plague,A20.0,I,Bubonic plague
1B93.1,01,Cellulocutaneous plague,A20.1,I,Cellulocutaneous plague
1B93.2,01,Pneumonic plague,A20.2,I,Pneumonic plague
1B93.3,01,Plague meningitis,A20.3,I,Plague meningitis
1B93.Y,01,Other specified plague,A20.8,I,Other forms of plague
1B93.Z,01,"Plague, unspecified",A20,I,Plague
1B94,01,Tularaemia,A21,I,Tularaemia
1B94.0,01,Ulceroglandular tularaemia,A21.0,I,Ulceroglandular tularaemia
1B94.Y,01,Other specified tularaemia,A21.8,I,Other forms of tularaemia
1B94.Z,01,"Tularaemia, unspecified",A21,I,Tularaemia
1B95,01,Brucellosis,A23,I,Brucellosis
1B96,01,Erysipeloid,A26,I,Erysipeloid
1B97,01,Anthrax,A22,I,Anthrax
1B98,01,Cat-scratch disease,A28.1,I,Cat-scratch disease
1B99,01,Pasteurellosis,A28.0,I,Pasteurellosis
1B9A,01,Extraintestinal yersiniosis,A28.2,I,Extraintestinal yersiniosis
1B9Z,01,Unspecified zoonotic bacterial disease,A28.8,I,"Other specified zoonotic bacterial diseases, not elsewhere classified"
1C10,01,Actinomycosis,A42,I,Actinomycosis
1C10.0,01,Pulmonary actinomycosis,A42.0,I,Pulmonary actinomycosis
1C10.1,01,Abdominal actinomycosis,A42.1,I,Abdominal actinomycosis
1C10.2,01,Cervicofacial actinomycosis,A42.2,I,Cervicofacial actinomycosis
1C10.3,01,Primary cutaneous actinomycosis,A42,I,Actinomycosis
1C10.Y,01,Other specified forms of actinomycosis,A42.8,I,Other forms of actinomycosis
1C10.Z,01,"Actinomycosis, unspecified",A42,I,Actinomycosis
1C11,01,Bartonellosis,A44,I,Bartonellosis
1C11.0,01,Carrion disease,A44,I,Bartonellosis
1C11.00,01,Oroya fever,A44.0,I,Systemic bartonellosis
1C11.01,01,Verruga peruana,A44.1,I,Cutaneous and mucocutaneous bartonellosis
1C11.0Z,01,"Carrion disease, unspecified",A44,I,Bartonellosis
1C11.1,01,Trench fever,A79.0,I,Trench fever
1C11.Y,01,Other forms of bartonellosis,A44.8,I,Other forms of bartonellosis
1C11.Z,01,"Bartonellosis, unspecified",A44,I,Bartonellosis
1C12,01,Whooping cough,A37,I,Whooping cough
1C12.0,01,Whooping cough due to Bordetella pertussis,A37.0,I,Whooping cough due to Bordetella pertussis
1C12.1,01,Whooping cough due to Bordetella parapertussis,A37.1,I,Whooping cough due to Bordetella parapertussis
1C12.Y,01,Other specified whooping cough,A37.8,I,Whooping cough due to other Bordetella species
1C12.Z,01,"Whooping cough, unspecified",A37,I,Whooping cough
1C13,01,Tetanus,A35,I,Other tetanus
1C14,01,Obstetrical tetanus,A34,I,Obstetrical tetanus
1C15,01,Tetanus neonatorum,A33,I,Tetanus neonatorum
1C16,01,Gas gangrene,A48.0,I,Gas gangrene
1C17,01,Diphtheria,A36,I,Diphtheria
1C17.0,01,Pharyngeal or tonsillar diphtheria,A36.0,I,Pharyngeal diphtheria
1C17.00,01,Postdiphtheritic paralysis of uvula,A36.0,I,Pharyngeal diphtheria
1C17.0Y,01,Other specified pharyngeal or tonsillar diphtheria,A36.0,I,Pharyngeal diphtheria
1C17.0Z,01,"Pharyngeal or tonsillar diphtheria, unspecified",A36.0,I,Pharyngeal diphtheria
1C17.1,01,Nasal diphtheria,A36.1,I,Nasopharyngeal diphtheria
1C17.2,01,Laryngeal diphtheria,A36.2,I,Laryngeal diphtheria
1C17.3,01,Cutaneous diphtheria,A36.3,I,Cutaneous diphtheria
1C17.Y,01,Other specified diphtheria,A36.8,I,Other diphtheria
1C17.Z,01,"Diphtheria, unspecified",A36,I,Diphtheria
1C18,01,Brazilian purpuric fever,A48.4,I,Brazilian purpuric fever
1C19,01,Legionellosis,A48.1,I,Legionnaires disease
1C19.0,01,Nonpneumonic Legionnaires' disease,A48.2,I,Nonpneumonic Legionnaires disease [Pontiac fever]
1C19.1,01,Legionnaires disease,A48.1,I,Legionnaires disease
1C19.Z,01,"Legionellosis, unspecified",A48.1,I,Legionnaires disease
1C1A,01,Listeriosis,A32,I,Listeriosis
1C1A.0,01,Cutaneous listeriosis,A32.0,I,Cutaneous listeriosis
1C1A.1,01,Listerial meningitis or meningoencephalitis,A32.1,I,Listerial meningitis and meningoencephalitis
1C1A.Y,01,Other specified listeriosis,A32.8,I,Other forms of listeriosis
1C1A.Z,01,"Listeriosis, unspecified",A32,I,Listeriosis
1C1B,01,Nocardiosis,A43,I,Nocardiosis
1C1B.0,01,Pulmonary nocardiosis,A43.0,I,Pulmonary nocardiosis
1C1B.1,01,Cutaneous nocardiosis,A43.1,I,Cutaneous nocardiosis
