icd11Code,icd11Chapter,icd11Title,icd10Code,icd10Chapter,icd10Title
01,01,Certain infectious or parasitic diseases,I,I,Certain infectious and parasitic diseases
1A00,01,Cholera,A00.9,I,"Cholera, unspecified"
1A01,01,Intestinal infection due to other Vibrio,A04,I,Other bacterial intestinal infections
1A02,01,Intestinal infections due to Shigella,A03.9,I,"Shigellosis, unspecified"
1A03,01,Intestinal infections due to Escherichia coli,A04,I,Other bacterial intestinal infections
1A03.0,01,Enteropathogenic Escherichia coli infection,A04.0,I,Enteropathogenic Escherichia coli infection
1A03.1,01,Enterotoxigenic Escherichia coli infection,A04.1,I,Enterotoxigenic Escherichia coli infection
1A03.2,01,Enteroinvasive Escherichia coli infection,A04.2,I,Enteroinvasive Escherichia coli infection
1A03.3,01,Enterohaemorrhagic Escherichia coli infection,A04.3,I,Enterohaemorrhagic Escherichia coli infection
1A03.Y,01,Intestinal infections due to other specified Escherichia coli,A04.8,I,Other specified bacterial intestinal infections
1A03.Z,01,"Intestinal infections due to Escherichia coli, unspecified",A04,I,Other bacterial intestinal infections
1A04,01,Intestinal infections due to Clostridioides difficile,A04.7,I,Enterocolitis due to Clostridium difficile
1A05,01,Intestinal infections due to Yersinia enterocolitica,A04.6,I,Enteritis due to Yersinia enterocolitica
1A06,01,Gastroenteritis due to Campylobacter,A04.5,I,Campylobacter enteritis
1A07,01,Typhoid fever,A01.0,I,Typhoid fever
1A07.0,01,Typhoid peritonitis,A01.0,I,Typhoid fever
1A07.Y,01,Other specified typhoid fever,A01.0,I,Typhoid fever
1A07.Z,01,"Typhoid fever, unspecified",A01.0,I,Typhoid fever
1A08,01,Paratyphoid fever,A01,I,Typhoid and paratyphoid fevers
1A09,01,Infections due to other Salmonella,A02.8,I,Other specified salmonella infections
1A09.0,01,Salmonella enteritis,A02.0,I,Salmonella enteritis
1A09.Y,01,Infections due to other Salmonella in other organs,A02.8,I,Other specified salmonella infections
1A09.Z,01,"Salmonella infection, unspecified",A02.8,I,Other specified salmonella infections
1A0Y,01,Other specified bacterial intestinal infections,A04.9,I,"Bacterial intestinal infection, unspecified"
1A0Z,01,"Bacterial intestinal infections, unspecified",A04.9,I,"Bacterial intestinal infection, unspecified"
1A10,01,Foodborne staphylococcal intoxication,A05.0,I,Foodborne staphylococcal intoxication
