icd10Code,icd10ClassKind,icd10Chapter,icd10Title,icd11Code,icd11ClassKind,icd11Chapter,icd11Title
A03.1,category,I,Shigellosis due to Shigella flexneri,1A02&XN7Y2,category,01,Intestinal infections due to Shigella [Shigella flexneri]
A03.2,category,I,Shigellosis due to Shigella boydii,1A02&XN8RN,category,01,Intestinal infections due to Shigella [Shigella boydii]
A03.3,category,I,Shigellosis due to Shigella sonnei,1A02&XN9M9,category,01,Intestinal infections due to Shigella [Shigella sonnei]
A03.8,category,I,Other shigellosis,1C41,category,01,Bacterial infection of unspecified site
A03.9,category,I,"Shigellosis, unspecified",1A02,category,01,Intestinal infections due to Shigella
A04,category,I,Other bacterial intestinal infections,1A0Z,category,01,"Bacterial intestinal infections, unspecified"
A04,category,I,Other bacterial intestinal infections,1A03.Z,category,01,"Intestinal infections due to Escherichia coli, unspecified"
A04,category,I,Other bacterial intestinal infections,1A01,category,01,Intestinal infection due to other Vibrio
A04.0,category,I,Enteropathogenic Escherichia coli infection,1A03.0,category,01,Enteropathogenic Escherichia coli infection
A04.1,category,I,Enterotoxigenic Escherichia coli infection,1A03.1,category,01,Enterotoxigenic Escherichia coli infection
A04.2,category,I,Enteroinvasive Escherichia coli infection,1A03.2,category,01,Enteroinvasive Escherichia coli infection
A04.3,category,I,Enterohaemorrhagic Escherichia coli infection,1A03.3,category,01,Enterohaemorrhagic Escherichia coli infection
A04.4,category,I,Other intestinal Escherichia coli infections,1A03.Z,category,01,"Intestinal infections due to Escherichia coli, unspecified"
A04.5,category,I,Campylobacter enteritis,1A06,category,01,Gastroenteritis due to Campylobacter
A04.6,category,I,Enteritis due to Yersinia enterocolitica,1A05,category,01,Intestinal infections due to Yersinia enterocolitica
A04.7,category,I,Enterocolitis due to Clostridium difficile,1A04,category,01,Intestinal infections due to Clostridioides difficile
A04.7,category,I,Enterocolitis due to Clostridium difficile,1A1Y&XN0SE,category,01,Other specified bacterial foodborne intoxications [Clostridioides difficile]
A04.8,category,I,Other specified bacterial intestinal infections,1A0Y&XN9W5,category,01,Other specified bacterial intestinal infections [Enterobacter]
A04.8,category,I,Other specified bacterial intestinal infections,1A0Z,category,01,"Bacterial intestinal infections, unspecified"
A04.9,category,I,"Bacterial intestinal infection, unspecified",1A0Z,category,01,"Bacterial intestinal infections, unspecified"
A05,category,I,"Other bacterial foodborne intoxications, not elsewhere classified",1A1Z,category,01,"Bacterial foodborne intoxications, unspecified"
