icd10Code,icd10ClassKind,icd10Chapter,icd10Title,icd11Code,icd11ClassKind,icd11Chapter,icd11Title
F15.7,modifiedcategory,V,"Mental and behavioural disorders due to use of other stimulants, including caffeine : residual and late-onset psychotic disorder",6C46.6Z,category,06,"Stimulant-induced psychotic disorder including amphetamines, methamphetamine or methcathinone, unspecified"
F15.8,modifiedcategory,V,"Mental and behavioural disorders due to use of other stimulants, including caffeine : other mental and behavioural disorders",6C4C.0,category,06,"Episode of harmful use of MDMA or related drugs, including MDA"
F15.8,modifiedcategory,V,"Mental and behavioural disorders due to use of other stimulants, including caffeine : other mental and behavioural disorders",6C46.70,category,06,"Stimulant-induced mood disorder including amphetamines, methamphetamine or methcathinone"
F15.8,modifiedcategory,V,"Mental and behavioural disorders due to use of other stimulants, including caffeine : other mental and behavioural disorders",6C46.71,category,06,"Stimulant-induced anxiety disorder including amphetamines, methamphetamine or methcathinone"
F15.8,modifiedcategory,V,"Mental and behavioural disorders due to use of other stimulants, including caffeine : other mental and behavioural disorders",6C46.72,category,06,"Stimulant-induced obsessive-compulsive or related disorder including amphetamines, methamphetamine or methcathinone"
F15.8,modifiedcategory,V,"Mental and behavioural disorders due to use of other stimulants, including caffeine : other mental and behavioural disorders",6C4C.70,category,06,"MDMA or related drug-induced mood disorder, including MDA"
F15.8,modifiedcategory,V,"Mental and behavioural disorders due to use of other stimulants, including caffeine : other mental and behavioural disorders",6C4C.71,category,06,MDMA or related drug-induced anxiety disorder
F15.9,modifiedcategory,V,"Mental and behavioural disorders due to use of other stimulants, including caffeine : unspecified mental and behavioural disorder",6C46.Z,category,06,"Disorders due to use of stimulants including amphetamines, methamphetamine or methcathinone, unspecified"
F16,category,V,Mental and behavioural disorders due to use of hallucinogens,6C49.Z,category,06,"Disorders due to use of hallucinogens, unspecified"
F16.0,modifiedcategory,V,Mental and behavioural disorders due to use of hallucinogens : acute intoxication,6C49.3,category,06,Hallucinogen intoxication
F16.1,modifiedcategory,V,Mental and behavioural disorders due to use of hallucinogens : harmful use,6C49.1Z,category,06,"Harmful pattern of use of hallucinogens, unspecified"
F16.2,modifiedcategory,V,Mental and behavioural disorders due to use of hallucinogens : dependence syndrome,6C49.2Z,category,06,"Hallucinogen dependence, unspecified"
F16.3,modifiedcategory,V,Mental and behavioural disorders due to use of hallucinogens withdrawal state,6C49.4,category,06,Hallucinogen-induced delirium
F16.4,modifiedcategory,V,Mental and behavioural disorders due to use of hallucinogens withdrawal state with delirium,6C49.4,category,06,Hallucinogen-induced delirium
F16.5,modifiedcategory,V,Mental and behavioural disorders due to use of hallucinogens : psychotic disorder,6C49.5,category,06,Hallucinogen-induced psychotic disorder
F16.6,modifiedcategory,V,Mental and behavioural disorders due to use of hallucinogens : amnesic syndrome,6D72.13,category,06,Amnestic disorder due to use of volatile inhalants
F16.7,modifiedcategory,V,Mental and behavioural disorders due to use of hallucinogens : residual and late-onset psychotic disorder,6C49.5,category,06,Hallucinogen-induced psychotic disorder
F16.8,modifiedcategory,V,Mental and behavioural disorders due to use of hallucinogens : other mental and behavioural disorders,6C49.Z,category,06,"Disorders due to use of hallucinogens, unspecified"
F16.9,modifiedcategory,V,Mental and behavioural disorders due to use of hallucinogens : unspecified mental and behavioural disorder,6C49.Z,category,06,"Disorders due to use of hallucinogens, unspecified"
F17,category,V,Mental and behavioural disorders due to use of tobacco,6C4A.Z,category,06,"Disorders due to use of nicotine, unspecified"
F17.0,modifiedcategory,V,Mental and behavioural disorders due to use of tobacco : acute intoxication,6C4A.3,category,06,Nicotine intoxication
F17.1,modifiedcategory,V,Mental and behavioural disorders due to use of tobacco : harmful use,6C4A.1Z,category,06,"Harmful pattern of use of nicotine, unspecified"
F17.2,modifiedcategory,V,Mental and behavioural disorders due to use of tobacco : dependence syndrome,6C4A.2Z,category,06,"Nicotine dependence, unspecified"
F17.3,modifiedcategory,V,Mental and behavioural disorders due to use of tobacco withdrawal state,6C4A.4,category,06,Nicotine withdrawal
F17.4,modifiedcategory,V,Mental and behavioural disorders due to use of tobacco withdrawal state with delirium,6C4A.4,category,06,Nicotine withdrawal
F17.5,modifiedcategory,V,Mental and behavioural disorders due to use of tobacco : psychotic disorder,6C4A.Z,category,06,"Disorders due to use of nicotine, unspecified"
F17.6,modifiedcategory,V,Mental and behavioural disorders due to use of tobacco : amnesic syndrome,6D72.13,category,06,Amnestic disorder due to use of volatile inhalants
F17.7,modifiedcategory,V,Mental and behavioural disorders due to use of tobacco : residual and late-onset psychotic disorder,6C4A.Z,category,06,"Disorders due to use of nicotine, unspecified"
F17.8,modifiedcategory,V,Mental and behavioural disorders due to use of tobacco : other mental and behavioural disorders,6C4A.Z,category,06,"Disorders due to use of nicotine, unspecified"
F17.9,modifiedcategory,V,Mental and behavioural disorders due to use of tobacco : unspecified mental and behavioural disorder,6C4A.Z,category,06,"Disorders due to use of nicotine, unspecified"
F18,category,V,Mental and behavioural disorders due to use of volatile solvents,6C4B.Z,category,06,"Disorders due to use of volatile inhalants, unspecified"
F18.0,modifiedcategory,V,Mental and behavioural disorders due to use of volatile solvents : acute intoxication,6C4B.3,category,06,Volatile inhalant intoxication
F18.1,modifiedcategory,V,Mental and behavioural disorders due to use of volatile solvents : harmful use,6C4B.1Z,category,06,"Harmful pattern of use of volatile inhalants, unspecified"
F18.2,modifiedcategory,V,Mental and behavioural disorders due to use of volatile solvents : dependence syndrome,6C4B.2Z,category,06,"Volatile inhalant dependence, unspecified"
F18.3,modifiedcategory,V,Mental and behavioural disorders due to use of volatile solvents withdrawal state,6C4B.4,category,06,Volatile inhalant withdrawal
F18.4,modifiedcategory,V,Mental and behavioural disorders due to use of volatile solvents withdrawal state with delirium,6C4B.5,category,06,Volatile inhalant-induced delirium
F18.5,modifiedcategory,V,Mental and behavioural disorders due to use of volatile solvents : psychotic disorder,6C4B.6,category,06,Volatile inhalant-induced psychotic disorder
F18.6,modifiedcategory,V,Mental and behavioural disorders due to use of volatile solvents : amnesic syndrome,6D72.13,category,06,Amnestic disorder due to use of volatile inhalants
F18.7,modifiedcategory,V,Mental and behavioural disorders due to use of volatile solvents : residual and late-onset psychotic disorder,6C4B.6,category,06,Volatile inhalant-induced psychotic disorder
F18.8,modifiedcategory,V,Mental and behavioural disorders due to use of volatile solvents : other mental and behavioural disorders,6C4B.Z,category,06,"Disorders due to use of volatile inhalants, unspecified"
F18.9,modifiedcategory,V,Mental and behavioural disorders due to use of volatile solvents : unspecified mental and behavioural disorder,6C4B.Z,category,06,"Disorders due to use of volatile inhalants, unspecified"
F19,category,V,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances,6C4E.Z,category,06,"Disorders due to use of other specified psychoactive substances, including medications, unspecified"
F19,category,V,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances,6C4G.Z,category,06,"Disorders due to use of unknown or unspecified psychoactive substances, unspecified"
F19,category,V,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances,6C4H.Z,category,06,"Disorders due to use of non-psychoactive substances, unspecified"
F19,category,V,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances,6C4D.Z,category,06,"Disorders due to use of dissociative drugs including ketamine or phencyclidine (PCP), unspecified"
F19.0,modifiedcategory,V,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances : acute intoxication,6C4D.3,category,06,Dissociative drug intoxication including Ketamine or PCP
F19.0,modifiedcategory,V,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances : acute intoxication,6C47.3,category,06,Synthetic cathinone intoxication
F19.0,modifiedcategory,V,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances : acute intoxication,6C4G.3,category,06,Intoxication due to unknown or unspecified psychoactive substance
F19.0,modifiedcategory,V,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances : acute intoxication,6C4E.3,category,06,Other specified psychoactive substance intoxication
F19.1,modifiedcategory,V,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances : harmful use,6C4D.1Z,category,06,"Harmful pattern of use of dissociative drugs, including ketamine or PCP, unspecified"
F19.1,modifiedcategory,V,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances : harmful use,6C47.0,category,06,Episode of harmful use of synthetic cathinones
F19.1,modifiedcategory,V,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances : harmful use,6C47.11,category,06,"Harmful use of synthetic cathinones, continuous"
F19.1,modifiedcategory,V,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances : harmful use,6C47.1Z,category,06,"Harmful pattern of use of synthetic cathinones, unspecified"
F19.1,modifiedcategory,V,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances : harmful use,6C4G.1Z,category,06,"Harmful pattern of use of unknown or unspecified psychoactive substance, unspecified"
F19.1,modifiedcategory,V,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances : harmful use,6C47.10,category,06,"Harmful pattern of use of synthetic cathinones, episodic"
F19.1,modifiedcategory,V,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances : harmful use,6C4E.1Z,category,06,"Harmful pattern of use of other specified psychoactive substance, unspecified"
F19.2,modifiedcategory,V,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances : dependence syndrome,6C4D.2Z,category,06,"Dissociative drug dependence including ketamine or PCP, unspecified"
F19.2,modifiedcategory,V,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances : dependence syndrome,6C47.23,category,06,"Synthetic cathinone dependence, sustained full remission"
F19.2,modifiedcategory,V,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances : dependence syndrome,6C47.21,category,06,"Synthetic cathinone dependence, early full remission"
F19.2,modifiedcategory,V,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances : dependence syndrome,6C47.20,category,06,"Synthetic cathinone dependence, current use"
F19.2,modifiedcategory,V,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances : dependence syndrome,6C4E.2Z,category,06,"Other specified psychoactive substance dependence, unspecified"
F19.2,modifiedcategory,V,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances : dependence syndrome,6C47.2Z,category,06,"Synthetic cathinone dependence, unspecified"
F19.2,modifiedcategory,V,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances : dependence syndrome,6C4G.2Z,category,06,"Unknown or unspecified psychoactive substance dependence, substance and state of remission unspecified"
F19.2,modifiedcategory,V,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances : dependence syndrome,6C47.22,category,06,"Synthetic cathinone dependence, sustained partial remission"
F19.3,modifiedcategory,V,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances withdrawal state,8A84.Y,category,08,Other specified secondary headache
F19.3,modifiedcategory,V,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances withdrawal state,6C4G.5,category,06,Delirium induced by unknown or unspecified psychoactive substance
F19.3,modifiedcategory,V,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances withdrawal state,6C47.5,category,06,Synthetic cathinone-induced delirium
F19.3,modifiedcategory,V,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances withdrawal state,6C47.4,category,06,Synthetic cathinone withdrawal
F19.3,modifiedcategory,V,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances withdrawal state,6C4E.4Z,category,06,"Other specified psychoactive substance withdrawal, unspecified"
F19.3,modifiedcategory,V,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances withdrawal state,6C4D.4,category,06,Dissociative drug-induced delirium including ketamine or PCP
F19.3,modifiedcategory,V,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances withdrawal state,6C4G.4Z,category,06,"Withdrawal due to unknown or unspecified psychoactive substance, unspecified"
F19.3,modifiedcategory,V,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances withdrawal state,6C4E.5,category,06,Delirium induced by other specified psychoactive substance including medications
F19.4,modifiedcategory,V,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances withdrawal state with delirium,6C4G.5,category,06,Delirium induced by unknown or unspecified psychoactive substance
F19.4,modifiedcategory,V,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances withdrawal state with delirium,6C47.5,category,06,Synthetic cathinone-induced delirium
F19.4,modifiedcategory,V,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances withdrawal state with delirium,6C47.4,category,06,Synthetic cathinone withdrawal
F19.4,modifiedcategory,V,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances withdrawal state with delirium,6C4E.4Z,category,06,"Other specified psychoactive substance withdrawal, unspecified"
F19.4,modifiedcategory,V,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances withdrawal state with delirium,6C4D.4,category,06,Dissociative drug-induced delirium including ketamine or PCP
F19.4,modifiedcategory,V,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances withdrawal state with delirium,6C4G.4Z,category,06,"Withdrawal due to unknown or unspecified psychoactive substance, unspecified"
F19.4,modifiedcategory,V,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances withdrawal state with delirium,6C4E.5,category,06,Delirium induced by other specified psychoactive substance including medications
F19.5,modifiedcategory,V,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances : psychotic disorder,6C47.6Z,category,06,"Synthetic cathinone-induced psychotic disorder, unspecified"
F19.5,modifiedcategory,V,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances : psychotic disorder,6C47.60,category,06,Synthetic cathinone-induced psychotic disorder with hallucinations
F19.5,modifiedcategory,V,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances : psychotic disorder,6C47.61,category,06,Synthetic cathinone-induced psychotic disorder with delusions
F19.5,modifiedcategory,V,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances : psychotic disorder,6C47.70,category,06,Synthetic cathinone-induced mood disorder
F19.5,modifiedcategory,V,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances : psychotic disorder,6C47.72,category,06,Synthetic cathinone-induced obsessive-compulsive or related syndrome
F19.5,modifiedcategory,V,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances : psychotic disorder,6C47.62,category,06,Synthetic cathinone-induced psychotic disorder with mixed psychotic symptoms
F19.5,modifiedcategory,V,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances : psychotic disorder,6C4E.6,category,06,Psychotic disorder induced by other specified psychoactive substance
F19.5,modifiedcategory,V,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances : psychotic disorder,6C4G.6,category,06,Psychotic disorder induced by unknown or unspecified psychoactive substance
F19.5,modifiedcategory,V,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances : psychotic disorder,6C4D.5,category,06,Dissociative drug-induced psychotic disorder including ketamine or PCP
F19.6,modifiedcategory,V,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances : amnesic syndrome,6D72.13,category,06,Amnestic disorder due to use of volatile inhalants
F19.7,modifiedcategory,V,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances : residual and late-onset psychotic disorder,6C4E.6,category,06,Psychotic disorder induced by other specified psychoactive substance
F19.7,modifiedcategory,V,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances : residual and late-onset psychotic disorder,6C4G.6,category,06,Psychotic disorder induced by unknown or unspecified psychoactive substance
F19.7,modifiedcategory,V,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances : residual and late-onset psychotic disorder,6C4D.5,category,06,Dissociative drug-induced psychotic disorder including ketamine or PCP
F19.8,modifiedcategory,V,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances : other mental and behavioural disorders,6C47.71,category,06,Synthetic cathinone-induced anxiety disorder
F19.8,modifiedcategory,V,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances : other mental and behavioural disorders,6C47.70,category,06,Synthetic cathinone-induced mood disorder
F19.8,modifiedcategory,V,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances : other mental and behavioural disorders,6C47.72,category,06,Synthetic cathinone-induced obsessive-compulsive or related syndrome
F19.8,modifiedcategory,V,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances : other mental and behavioural disorders,6D70.1,category,06,Delirium due to psychoactive substances including medications
F19.9,modifiedcategory,V,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances : unspecified mental and behavioural disorder,6C4E.Z,category,06,"Disorders due to use of other specified psychoactive substances, including medications, unspecified"
F20-F29,block,V,"Schizophrenia, schizotypal and delusional disorders",6A2Z,category,06,"Schizophrenia or other primary psychotic disorders, unspecified"
F20,category,V,Schizophrenia,6A20.Z,category,06,"Schizophrenia, episode unspecified"
F20.0,category,V,Paranoid schizophrenia,6A20.Z,category,06,"Schizophrenia, episode unspecified"
F20.1,category,V,Hebephrenic schizophrenia,6A20.Z,category,06,"Schizophrenia, episode unspecified"
F20.2,category,V,Catatonic schizophrenia,6A20.Z,category,06,"Schizophrenia, episode unspecified"
F20.3,category,V,Undifferentiated schizophrenia,6A20.Z,category,06,"Schizophrenia, episode unspecified"
F20.4,category,V,Post-schizophrenic depression,6A20.Z,category,06,"Schizophrenia, episode unspecified"
F20.4,category,V,Post-schizophrenic depression,6A25.2,category,06,Depressive mood symptoms in primary psychotic disorders
F20.5,category,V,Residual schizophrenia,6A20.Z,category,06,"Schizophrenia, episode unspecified"
F20.6,category,V,Simple schizophrenia,6A20.Z,category,06,"Schizophrenia, episode unspecified"
F20.8,category,V,Other schizophrenia,6A20.Z,category,06,"Schizophrenia, episode unspecified"
F20.9,category,V,"Schizophrenia, unspecified",6A20.Z,category,06,"Schizophrenia, episode unspecified"
F21,category,V,Schizotypal disorder,6A22,category,06,Schizotypal disorder
F22,category,V,Persistent delusional disorders,6A24.Z,category,06,"Delusional disorder, unspecified"
F22.0,category,V,Delusional disorder,6A24.Z,category,06,"Delusional disorder, unspecified"
F22.8,category,V,Other persistent delusional disorders,6A24.Z,category,06,"Delusional disorder, unspecified"
F22.9,category,V,"Persistent delusional disorder, unspecified",6A24.Z,category,06,"Delusional disorder, unspecified"
F23,category,V,Acute and transient psychotic disorders,6A23.Z,category,06,"Acute and transient psychotic disorder, unspecified"
F23.0,category,V,Acute polymorphic psychotic disorder without symptoms of schizophrenia,6A23.Z,category,06,"Acute and transient psychotic disorder, unspecified"
F23.1,category,V,Acute polymorphic psychotic disorder with symptoms of schizophrenia,6A23.Z,category,06,"Acute and transient psychotic disorder, unspecified"
F23.2,category,V,Acute schizophrenia-like psychotic disorder,6A23.Z,category,06,"Acute and transient psychotic disorder, unspecified"
F23.3,category,V,Other acute predominantly delusional psychotic disorders,6A23.Z,category,06,"Acute and transient psychotic disorder, unspecified"
F23.8,category,V,Other acute and transient psychotic disorders,6A23.Z,category,06,"Acute and transient psychotic disorder, unspecified"
F23.9,category,V,"Acute and transient psychotic disorder, unspecified",6A23.Z,category,06,"Acute and transient psychotic disorder, unspecified"
F24,category,V,Induced delusional disorder,6A24.Z,category,06,"Delusional disorder, unspecified"
F25,category,V,Schizoaffective disorders,6A21.Z,category,06,"Schizoaffective disorder, unspecified"
F25.0,category,V,"Schizoaffective disorder, manic type",6A21.Z,category,06,"Schizoaffective disorder, unspecified"
F25.1,category,V,"Schizoaffective disorder, depressive type",6A21.Z,category,06,"Schizoaffective disorder, unspecified"
F25.2,category,V,"Schizoaffective disorder, mixed type",6A21.Z,category,06,"Schizoaffective disorder, unspecified"
F25.8,category,V,Other schizoaffective disorders,6A21.Z,category,06,"Schizoaffective disorder, unspecified"
F25.9,category,V,"Schizoaffective disorder, unspecified",6A21.Z,category,06,"Schizoaffective disorder, unspecified"
F28,category,V,Other nonorganic psychotic disorders,6A2Z,category,06,"Schizophrenia or other primary psychotic disorders, unspecified"
F29,category,V,Unspecified nonorganic psychosis,6A2Z,category,06,"Schizophrenia or other primary psychotic disorders, unspecified"
F30-F39,block,V,Mood [affective] disorders,6A8Z,category,06,"Mood disorders, unspecified"
F30,category,V,Manic episode,6A8Z,category,06,"Mood disorders, unspecified"
F30.0,category,V,Hypomania,MB22.Z,category,21,"Symptoms or signs involving motivation or energy, unspecified"
F30.0,category,V,Hypomania,MB24.Z,category,21,"Symptoms and signs involving mood or affect, unspecified"
F30.1,category,V,Mania without psychotic symptoms,6A60.0,category,06,"Bipolar type I disorder, current episode manic, without psychotic symptoms"
F30.2,category,V,Mania with psychotic symptoms,6A60.1,category,06,"Bipolar type I disorder, current episode manic, with psychotic symptoms"
F30.8,category,V,Other manic episodes,6A8Z,category,06,"Mood disorders, unspecified"
F30.9,category,V,"Manic episode, unspecified",6A8Z,category,06,"Mood disorders, unspecified"
F31,category,V,Bipolar affective disorder,6A60.Z,category,06,"Bipolar type I disorder, unspecified"
F31,category,V,Bipolar affective disorder,6A61.Z,category,06,"Bipolar type II disorder, unspecified"
F31.0,category,V,"Bipolar affective disorder, current episode hypomanic",6A60.2,category,06,"Bipolar type I disorder, current episode hypomanic"
F31.1,category,V,"Bipolar affective disorder, current episode manic without psychotic symptoms",6A60.0,category,06,"Bipolar type I disorder, current episode manic, without psychotic symptoms"
F31.2,category,V,"Bipolar affective disorder, current episode manic with psychotic symptoms",6A60.1,category,06,"Bipolar type I disorder, current episode manic, with psychotic symptoms"
F31.3,category,V,"Bipolar affective disorder, current episode mild or moderate depression",6A60.3,category,06,"Bipolar type I disorder, current episode depressive, mild"
F31.4,category,V,"Bipolar affective disorder, current episode severe depression without psychotic symptoms",6A60.6,category,06,"Bipolar type I disorder, current episode depressive, severe without psychotic symptoms"
F31.5,category,V,"Bipolar affective disorder, current episode severe depression with psychotic symptoms",6A60.7,category,06,"Bipolar type I disorder, current episode depressive, severe with psychotic symptoms"
F31.6,category,V,"Bipolar affective disorder, current episode mixed",6A60.9,category,06,"Bipolar type I disorder, current episode mixed, without psychotic symptoms"
F31.7,category,V,"Bipolar affective disorder, currently in remission",6A60.F,category,06,"Bipolar type I disorder, currently in full remission"
F31.8,category,V,Other bipolar affective disorders,6A6Z,category,06,"Bipolar or related disorders, unspecified"
F31.9,category,V,"Bipolar affective disorder, unspecified",6A6Z,category,06,"Bipolar or related disorders, unspecified"
F32,category,V,Depressive episode,6A70.Z,category,06,"Single episode depressive disorder, unspecified"
F32.0,category,V,Mild depressive episode,6A70.0,category,06,"Single episode depressive disorder, mild"
F32.1,category,V,Moderate depressive episode,6A70.1,category,06,"Single episode depressive disorder, moderate, without psychotic symptoms"
F32.2,category,V,Severe depressive episode without psychotic symptoms,6A70.3,category,06,"Single episode depressive disorder, severe, without psychotic symptoms"
F32.3,category,V,Severe depressive episode with psychotic symptoms,6A70.4,category,06,"Single episode depressive disorder, severe, with psychotic symptoms"
F32.8,category,V,Other depressive episodes,6A7Z,category,06,"Depressive disorders, unspecified"
F32.9,category,V,"Depressive episode, unspecified",6A7Z,category,06,"Depressive disorders, unspecified"
F33,category,V,Recurrent depressive disorder,6A71.Z,category,06,"Recurrent depressive disorder, unspecified"
F33.0,category,V,"Recurrent depressive disorder, current episode mild",6A71.0,category,06,"Recurrent depressive disorder, current episode mild"
F33.1,category,V,"Recurrent depressive disorder, current episode moderate",6A71.1,category,06,"Recurrent depressive disorder, current episode moderate, without psychotic symptoms"
F33.2,category,V,"Recurrent depressive disorder, current episode severe without psychotic symptoms",6A71.3,category,06,"Recurrent depressive disorder, current episode severe, without psychotic symptoms"
F33.3,category,V,"Recurrent depressive disorder, current episode severe with psychotic symptoms",6A71.4,category,06,"Recurrent depressive disorder, current episode severe, with psychotic symptoms"
F33.4,category,V,"Recurrent depressive disorder, currently in remission",6A71.7,category,06,"Recurrent depressive disorder, currently in full remission"
F33.8,category,V,Other recurrent depressive disorders,6A71.Z,category,06,"Recurrent depressive disorder, unspecified"
F33.9,category,V,"Recurrent depressive disorder, unspecified",6A71.Z,category,06,"Recurrent depressive disorder, unspecified"
F34,category,V,Persistent mood [affective] disorders,6A8Z,category,06,"Mood disorders, unspecified"
F34.0,category,V,Cyclothymia,6A62,category,06,Cyclothymic disorder
F34.1,category,V,Dysthymia,6A72,category,06,Dysthymic disorder
F34.8,category,V,Other persistent mood [affective] disorders,6A8Z,category,06,"Mood disorders, unspecified"
F34.9,category,V,"Persistent mood [affective] disorder, unspecified",6A8Z,category,06,"Mood disorders, unspecified"
F38,category,V,Other mood [affective] disorders,6A8Z,category,06,"Mood disorders, unspecified"
F38.0,category,V,Other single mood [affective] disorders,6A8Z,category,06,"Mood disorders, unspecified"
F38.1,category,V,Other recurrent mood [affective] disorders,6A8Z,category,06,"Mood disorders, unspecified"
F38.8,category,V,Other specified mood [affective] disorders,6A8Z,category,06,"Mood disorders, unspecified"
F39,category,V,Unspecified mood [affective] disorder,6A8Z,category,06,"Mood disorders, unspecified"
F40-F48,block,V,"Neurotic, stress-related and somatoform disorders",6C20.Z,category,06,"Bodily distress disorder, unspecified"
F40-F48,block,V,"Neurotic, stress-related and somatoform disorders",6B4Z,category,06,"Disorders specifically associated with stress, unspecified"
F40,category,V,Phobic anxiety disorders,6B0Z,category,06,"Anxiety or fear-related disorders, unspecified"
F40.0,category,V,Agoraphobia,6B02,category,06,Agoraphobia
F40.1,category,V,Social phobias,6B04,category,06,Social anxiety disorder
F40.2,category,V,Specific (isolated) phobias,6B03,category,06,Specific phobia
F40.8,category,V,Other phobic anxiety disorders,6B0Z,category,06,"Anxiety or fear-related disorders, unspecified"
F40.9,category,V,"Phobic anxiety disorder, unspecified",6B0Z,category,06,"Anxiety or fear-related disorders, unspecified"
F41,category,V,Other anxiety disorders,6B0Z,category,06,"Anxiety or fear-related disorders, unspecified"
F41.0,category,V,Panic disorder [episodic paroxysmal anxiety],6B01,category,06,Panic disorder
F41.1,category,V,Generalized anxiety disorder,6B00,category,06,Generalised anxiety disorder
F41.2,category,V,Mixed anxiety and depressive disorder,6A73,category,06,Mixed depressive and anxiety disorder
F41.2,category,V,Mixed anxiety and depressive disorder,6C9Z,category,06,"Disruptive behaviour or dissocial disorders, unspecified"
F41.3,category,V,Other mixed anxiety disorders,6C9Z,category,06,"Disruptive behaviour or dissocial disorders, unspecified"
F41.8,category,V,Other specified anxiety disorders,6C9Z,category,06,"Disruptive behaviour or dissocial disorders, unspecified"
F41.9,category,V,"Anxiety disorder, unspecified",6B0Z,category,06,"Anxiety or fear-related disorders, unspecified"
F42,category,V,Obsessive-compulsive disorder,6B20.Z,category,06,"Obsessive-compulsive disorder, unspecified"
F42.0,category,V,Predominantly obsessional thoughts or ruminations,6B20.Z,category,06,"Obsessive-compulsive disorder, unspecified"
F42.1,category,V,Predominantly compulsive acts [obsessional rituals],6B20.Z,category,06,"Obsessive-compulsive disorder, unspecified"
F42.2,category,V,Mixed obsessional thoughts and acts,6B20.Z,category,06,"Obsessive-compulsive disorder, unspecified"
F42.8,category,V,Other obsessive-compulsive disorders,6B22.Z,category,06,"Olfactory reference disorder, unspecified"
F42.8,category,V,Other obsessive-compulsive disorders,6B25.Z,category,06,"Body-focused repetitive behaviour disorders, unspecified"
F42.8,category,V,Other obsessive-compulsive disorders,6B22.0,category,06,Olfactory reference disorder with fair to good insight
F42.8,category,V,Other obsessive-compulsive disorders,6B22.1,category,06,Olfactory reference disorder with poor to absent insight
F42.9,category,V,"Obsessive-compulsive disorder, unspecified",6B20.Z,category,06,"Obsessive-compulsive disorder, unspecified"
F43,category,V,"Reaction to severe stress, and adjustment disorders",6B4Z,category,06,"Disorders specifically associated with stress, unspecified"
F43.0,category,V,Acute stress reaction,QE84,category,24,Acute stress reaction
F43.1,category,V,Post-traumatic stress disorder,6B40,category,06,Post traumatic stress disorder
F43.2,category,V,Adjustment disorders,6B43,category,06,Adjustment disorder
F43.8,category,V,Other reactions to severe stress,6B4Z,category,06,"Disorders specifically associated with stress, unspecified"
F43.9,category,V,"Reaction to severe stress, unspecified",6B4Z,category,06,"Disorders specifically associated with stress, unspecified"
