entityId,code,title,classKind,depthInKind,chapterNo,parentEntityId
1393712712,1A11.1,Other forms of botulism,category,2,01,78422942
900000008,1A11.Z,"Botulism, unspecified",category,2,01,78422942
1879176035,1A12,Foodborne Clostridium perfringens intoxication,category,1,01,1834648119
1722068323,1A13,Foodborne Bacillus cereus intoxication,category,1,01,1834648119
900000009,1A1Y,Other specified bacterial foodborne intoxications,category,1,01,1834648119
900000010,1A1Z,"Bacterial foodborne intoxications, unspecified",category,1,01,1834648119
30738976,,Viral intestinal infections,block,2,01,588616678
749414717,1A20,Enteritis due to Adenovirus,category,1,01,30738976
1185210745,1A21,Gastroenteritis due to Astrovirus,category,1,01,30738976
840750347,1A22,Gastroenteritis due to Rotavirus,category,1,01,30738976
1465325727,1A23,Enteritis due to Norovirus,category,1,01,30738976
1519125035,1A24,Intestinal infections due to Cytomegalovirus,category,1,01,30738976
900000011,1A2Y,Other specified viral intestinal infections,category,1,01,30738976
900000012,1A2Z,"Viral intestinal infections, unspecified",category,1,01,30738976
2092703582,,Protozoal intestinal infections,block,2,01,588616678
2090337975,1A30,Infections due to Balantidium coli,category,1,01,2092703582
433310499,1A31,Giardiasis,category,1,01,2092703582
1837013982,1A32,Cryptosporidiosis,category,1,01,2092703582
137713224,1A33,Cystoisosporiasis,category,1,01,2092703582
1058992628,1A33.0,Cystoisosporiasis of small intestine,category,2,01,137713224
883510242,1A33.1,Cystoisosporiasis of colon,category,2,01,137713224
900000013,1A33.Y,Other specified cystoisosporiasis,category,2,01,137713224
900000014,1A33.Z,"Cystoisosporiasis, unspecified",category,2,01,137713224
261748740,1A34,Sarcocystosis,category,1,01,2092703582
1184241320,1A35,Blastocystosis,category,1,01,2092703582
435671752,1A36,Amoebiasis,category,1,01,2092703582
1727029934,1A36.0,Intestinal infections due to Entamoeba,category,2,01,435671752
1616956984,1A36.00,Acute amoebiasis,category,3,01,1727029934
349019849,1A36.01,Amoeboma of intestine,category,3,01,1727029934
900000015,1A36.0Y,Other specified intestinal infections due to Entamoeba,category,3,01,1727029934
900000016,1A36.0Z,"Intestinal infections due to Entamoeba, unspecified",category,3,01,1727029934
1777228366,1A36.1,Extraintestinal infections due to Entamoeba,category,2,01,435671752
1730350429,1A36.10,Amoebic liver abscess,category,3,01,1777228366
40419529,1A36.11,Amoebic lung abscess,category,3,01,1777228366
328097188,1A36.12,Cutaneous amoebiasis,category,3,01,1777228366
