code,level,preferred,term,codeReference,obs,seeAlso,excludes,other,description
8140F/3,Synonym,0,Salivary gland adenocarcinoma,"C06.3, C07.9, C08._",,,,,"Salivary gland adenocarcinoma (C06.3, C07.9, C08._)"
8140G/3,Preferred,1,"Adenocarcinoma, non-intestinal-type",,,,,,"Adenocarcinoma, non-intestinal-type"
81400/6,Preferred,1,"Adenocarcinoma, metastatic, NOS",,,,,,"Adenocarcinoma, metastatic, NOS"
81410/3,Preferred,1,Scirrhous adenocarcinoma,,[obs],,,,Scirrhous adenocarcinoma [obs]
81410/3,Synonym,0,Carcinoma with productive fibrosis,,[obs],,,,Carcinoma with productive fibrosis [obs]
81410/3,Synonym,0,Scirrhous carcinoma,,[obs],,,,Scirrhous carcinoma [obs]
81420/3,Preferred,1,Linitis plastica,C16._,[obs],,,,Linitis plastica (C16._) [obs]
81430/3,Preferred,1,Superficial spreading adenocarcinoma,,,,,,Superficial spreading adenocarcinoma
81440/0,Preferred,1,"Adenoma, intestinal-type, NOS",,,,,,"Adenoma, intestinal-type, NOS"
81441/0,Preferred,1,"Adenoma, intestinal-type, low-grade",,,,,,"Adenoma, intestinal-type, low-grade"
81441/0,Synonym,0,"Adenoma, ampullary-duodenal, low-grade",C24.1,,,,,"Adenoma, ampullary-duodenal, low-grade (C24.1)"
81442/0,Preferred,1,"Adenoma, intestinal-type, sporadic, low-grade",,,,,,"Adenoma, intestinal-type, sporadic, low-grade"
81443/0,Preferred,1,"Adenoma, intestinal-type, syndromic, low-grade",,,,,,"Adenoma, intestinal-type, syndromic, low-grade"
81444/0,Preferred,1,"Intestinal-type dysplasia, low-grade",,,,,,"Intestinal-type dysplasia, low-grade"
81441/2,Preferred,1,"Adenoma, intestinal-type, high-grade",,,,,,"Adenoma, intestinal-type, high-grade"
81441/2,Synonym,0,"Adenoma, ampullary-duodenal, high-grade",C24.1,,,,,"Adenoma, ampullary-duodenal, high-grade (C24.1)"
81442/2,Preferred,1,"Adenoma, intestinal-type, sporadic, high-grade",,,,,,"Adenoma, intestinal-type, sporadic, high-grade"
81443/2,Preferred,1,"Adenoma, intestinal-type, syndromic, high-grade",,,,,,"Adenoma, intestinal-type, syndromic, high-grade"
81444/2,Preferred,1,"Intestinal-type dysplasia, high-grade",,,,,,"Intestinal-type dysplasia, high-grade"
81440/3,Preferred,1,"Adenocarcinoma, intestinal-type",,,,,,"Adenocarcinoma, intestinal-type"
81440/3,Synonym,0,Adenocarcinoma of intestinal type,,,,,,Adenocarcinoma of intestinal type
81440/3,Synonym,0,"Adenocarcinoma, enteric",,,,,,"Adenocarcinoma, enteric"
81440/3,Synonym,0,"Adenocarcinoma, enteric-type",,,,,,"Adenocarcinoma, enteric-type"
81440/3,Synonym,0,"Carcinoma, intestinal-type",,,,,,"Carcinoma, intestinal-type"
81440/3,Synonym,0,"Mucinous carcinoma, intestinal-type",,,,,,"Mucinous carcinoma, intestinal-type"
81440/3,Synonym,0,"Adenocarcinoma, intestinal, NOS",,,,,,"Adenocarcinoma, intestinal, NOS"
81445/3,Preferred,1,"Tubular adenocarcinoma, intestinal type",,,,,,"Tubular adenocarcinoma, intestinal type"
81446/3,Preferred,1,Endometrial gastric (gastrointestinal)-type carcinoma,C54.1,,,,,Endometrial gastric (gastrointestinal)-type carcinoma (C54.1)
81446/3,Synonym,0,Endometrial gastric-type adenocarcinoma,C54.1,,,,,Endometrial gastric-type adenocarcinoma (C54.1)
81450/3,Preferred,1,"Carcinoma, diffuse type",C16._,,,,,"Carcinoma, diffuse type (C16._)"
81450/3,Synonym,0,"Adenocarcinoma, diffuse type",C16._,,,,,"Adenocarcinoma, diffuse type (C16._)"
81460/0,Preferred,1,Monomorphic adenoma,,,,,,Monomorphic adenoma
81470/0,Preferred,1,"Basal cell adenoma, NOS",,,,,,"Basal cell adenoma, NOS"
81471/0,Preferred,1,"Basal cell adenoma, membranous",,,,,,"Basal cell adenoma, membranous"
81470/3,Preferred,1,Basal cell adenocarcinoma,,,,,,Basal cell adenocarcinoma
81470/3,Related,0,Adenoid cystic (basal cell) carcinoma of prosate,,,,,,Adenoid cystic (basal cell) carcinoma of prosate
81470/3,Synonym,0,Basal cell carcinoma of prostate,C61.9,,,,,Basal cell carcinoma of prostate (C61.9)
81470/3,Synonym,0,Adenoid cystic carcinoma of prostate,C61.9,,,,,Adenoid cystic carcinoma of prostate (C61.9)
81470/3,Synonym,0,Adenoid basal cell carcinoma of prostate,C61.9,,,,,Adenoid basal cell carcinoma of prostate (C61.9)
81470/3,Synonym,0,"Adenoid cystic carcinoma of prostate, solid pattern",C61.9,,,,,"Adenoid cystic carcinoma of prostate, solid pattern (C61.9)"
81480/0,Preferred,1,"Glandular intraepithelial neoplasia, low-grade",,,,,,"Glandular intraepithelial neoplasia, low-grade"
81480/0,Synonym,0,"Glandular intraepithelial neoplasia, grade 1",,,,,,"Glandular intraepithelial neoplasia, grade 1"
81480/0,Synonym,0,"Glandular intraepithelial neoplasia, grade 2",,,,,,"Glandular intraepithelial neoplasia, grade 2"
81480/0,Related,0,"Biliary intraepithelial neoplasia, low-grade",,,,,,"Biliary intraepithelial neoplasia, low-grade"
81480/0,Related,0,"Barrett dysplasia, low-grade","C15._, C16.7",,,,,"Barrett dysplasia, low-grade (C15._, C16.7)"
81480/0,Synonym,0,"Oesophageal glandular dysplasia (intraepithelial neoplasia), low-grade",C15._,,,,,"Oesophageal glandular dysplasia (intraepithelial neoplasia), low-grade (C15._)"
81480/0,Related,0,"Pancreatic intraepithelial neoplasia, low-grade",C25._,,,,,"Pancreatic intraepithelial neoplasia, low-grade (C25._)"
81480/0,Synonym,0,"PanIN, low-grade",C25._,,,,,"PanIN, low-grade (C25._)"
81480/0,Related,0,"Gastric dysplasia, low-grade",C16._,,,,,"Gastric dysplasia, low-grade (C16._)"
81481/0,Preferred,1,"Dysplasia associated with inflammatory bowel disease, low-grade",,,,,,"Dysplasia associated with inflammatory bowel disease, low-grade"
81482/0,Preferred,1,"Gastric pit/crypt dysplasia, low-grade",C16._,,,,,"Gastric pit/crypt dysplasia, low-grade (C16._)"
81482/0,Synonym,0,"Crypt dysplasia, low-grade",C16._,,,,,"Crypt dysplasia, low-grade (C16._)"
81482/0,Synonym,0,"Gastric pit dysplasia, low-grade",C16._,,,,,"Gastric pit dysplasia, low-grade (C16._)"
81483/0,Preferred,1,"Foveolar-type (gastric-type) dysplasia, low-grade",C16._,,,,,"Foveolar-type (gastric-type) dysplasia, low-grade (C16._)"
81480/2,Preferred,1,"Glandular intraepithelial neoplasia, high-grade",,,,,,"Glandular intraepithelial neoplasia, high-grade"
81480/2,Synonym,0,"Glandular intraepithelial neoplasia, grade 3",,,,,,"Glandular intraepithelial neoplasia, grade 3"
81480/2,Synonym,0,"Flat intraepithelial neoplasia, high-grade",,,,,,"Flat intraepithelial neoplasia, high-grade"
81480/2,Related,0,"Biliary intraepithelial neoplasia, high-grade",,,,,,"Biliary intraepithelial neoplasia, high-grade"
81480/2,Synonym,0,"Biliary intraepithelial neoplasia, grade 3 (BilIN-3)",,,,,,"Biliary intraepithelial neoplasia, grade 3 (BilIN-3)"
81480/2,Related,0,"Barrett dysplasia, high-grade","C15._, C16.7",,,,,"Barrett dysplasia, high-grade (C15._, C16.7)"
81480/2,Synonym,0,"Oesophageal glandular dysplasia (intraepithelial neoplasia), high-grade",C15._,,,,,"Oesophageal glandular dysplasia (intraepithelial neoplasia), high-grade (C15._)"
81480/2,Related,0,"Pancreatic intraepithelial neoplasia, high-grade",C25._,,,,,"Pancreatic intraepithelial neoplasia, high-grade (C25._)"
81480/2,Synonym,0,"PanIN, high-grade",C25._,,,,,"PanIN, high-grade (C25._)"
81480/2,Related,0,"Gastric dysplasia, high-grade",C16._,,,,,"Gastric dysplasia, high-grade (C16._)"
81480/2,Related,0,"Prostatic intraepithelial neoplasia, high-grade",C61.9,,,,,"Prostatic intraepithelial neoplasia, high-grade (C61.9)"
81480/2,Synonym,0,"Prostatic intraepithelial neoplasia, NOS",C61.9,,,,,"Prostatic intraepithelial neoplasia, NOS (C61.9)"
81480/2,Synonym,0,"Prostatic intraepithelial neoplasia, grade 3",C61.9,,,,,"Prostatic intraepithelial neoplasia, grade 3 (C61.9)"
81480/2,Synonym,0,PIN 3,C61.9,,,,,PIN 3 (C61.9)
81481/2,Preferred,1,"Dysplasia associated with inflammatory bowel disease, high-grade",,,,,,"Dysplasia associated with inflammatory bowel disease, high-grade"
81482/2,Preferred,1,"Gastric pit/crypt dysplasia, high-grade",,,,,,"Gastric pit/crypt dysplasia, high-grade"
81482/2,Synonym,0,"Crypt dysplasia, high-grade",C16._,,,,,"Crypt dysplasia, high-grade (C16._)"
81482/2,Synonym,0,"Gastric pit dysplasia, high-grade",C16._,,,,,"Gastric pit dysplasia, high-grade (C16._)"
81483/2,Preferred,1,"Foveolar-type (gastric-type) dysplasia, high-grade",C16._,,,,,"Foveolar-type (gastric-type) dysplasia, high-grade (C16._)"
81490/0,Preferred,1,Canalicular adenoma,,,,,,Canalicular adenoma
81500/1,Preferred,1,Pancreatic neuroendocrine microtumour,C25.4,,,,,Pancreatic neuroendocrine microtumour (C25.4)
81500/1,Synonym,0,Pancreatic microadenoma,C25.4,,,,,Pancreatic microadenoma (C25.4)
81500/1,Synonym,0,Pancreatic neuroendocrine microadenoma,C25.4,,,,,Pancreatic neuroendocrine microadenoma (C25.4)
81500/3,Preferred,1,"Pancreatic neuroendocrine tumour, non-functioning",C25.4,,,,,"Pancreatic neuroendocrine tumour, non-functioning (C25.4)"
81500/3,Synonym,0,"Pancreatic endocrine tumour, non-functioning",C25.4,,,,,"Pancreatic endocrine tumour, non-functioning (C25.4)"
81500/3,Synonym,0,"Pancreatic endocrine tumour, NOS",C25.4,,,,,"Pancreatic endocrine tumour, NOS (C25.4)"
81500/3,Related,0,Islet cell adenoma,C25.4,[obs],,,,Islet cell adenoma (C25.4) [obs]
81500/3,Related,0,Islet cell adenomatosis,C25.4,[obs],,,,Islet cell adenomatosis (C25.4) [obs]
81500/3,Related,0,Nesidioblastoma,C25.4,[obs],,,,Nesidioblastoma (C25.4) [obs]
81500/3,Related,0,"Islet cell tumour, NOS",C25.4,[obs],,,,"Islet cell tumour, NOS (C25.4) [obs]"
81500/3,Related,0,Islet cell adenocarcinoma,C25.4,[obs],,,,Islet cell adenocarcinoma (C25.4) [obs]
81500/3,Related,0,Islet cell carcinoma,C25.4,[obs],,,,Islet cell carcinoma (C25.4) [obs]
81501/3,Preferred,1,Oncocytic non-functioning (non-syndromic) pancreatic neuroendocrine tumour,C25.4,,,,,Oncocytic non-functioning (non-syndromic) pancreatic neuroendocrine tumour (C25.4)
81501/3,Synonym,0,"Oncocytic neuroendocrine tumour, non-functioning pancreatic",C25.4,,,,,"Oncocytic neuroendocrine tumour, non-functioning pancreatic (C25.4)"
81502/3,Preferred,1,Clear cell non-functioning (non-syndromic) pancreatic neuroendocrine tumour,C25.4,,,,,Clear cell non-functioning (non-syndromic) pancreatic neuroendocrine tumour (C25.4)
81502/3,Synonym,0,"Clear cell neuroendocrine tumour, non-functioning pancreatic",C25.4,,,,,"Clear cell neuroendocrine tumour, non-functioning pancreatic (C25.4)"
81503/3,Preferred,1,Pleomorphic non-functioning (non-syndromic) pancreatic neuroendocrine tumour,C25.4,,,,,Pleomorphic non-functioning (non-syndromic) pancreatic neuroendocrine tumour (C25.4)
81503/3,Synonym,0,"Pleomorphic neuroendocrine tumour, non-functioning pancreatic",C25.4,,,,,"Pleomorphic neuroendocrine tumour, non-functioning pancreatic (C25.4)"
81504/3,Preferred,1,Cystic non-functioning (non-syndromic) pancreatic neuroendocrine tumour,C25.4,,,,,Cystic non-functioning (non-syndromic) pancreatic neuroendocrine tumour (C25.4)
81504/3,Synonym,0,"Cystic neuroendocrine tumour, non-functioning pancreatic",C25.4,,,,,"Cystic neuroendocrine tumour, non-functioning pancreatic (C25.4)"
81510/3,Preferred,1,Insulinoma,C25.4,,,,,Insulinoma (C25.4)
81510/3,Synonym,0,"Neuroendocrine tumour, insulin-producing",,,,,,"Neuroendocrine tumour, insulin-producing"
81510/3,Synonym,0,Beta cell adenoma,C25.4,,,,,Beta cell adenoma (C25.4)
81510/3,Synonym,0,Beta cell tumour,C25.4,,,,,Beta cell tumour (C25.4)
81510/3,Synonym,0,Insulin-producing tumour,,,,,,Insulin-producing tumour
81520/3,Preferred,1,Glucagonoma,,,,,,Glucagonoma
81520/3,Synonym,0,"Neuroendocrine tumour, glucagon-producing",,,,,,"Neuroendocrine tumour, glucagon-producing"
81520/3,Synonym,0,Alpha cell tumour,,,,,,Alpha cell tumour
81520/3,Related,0,Enteroglucagonoma,,[obs],,,,Enteroglucagonoma [obs]
81521/3,Preferred,1,L-cell tumour,,,,,,L-cell tumour
81522/3,Preferred,1,Glucagon-like peptide-producing tumour,,,,,,Glucagon-like peptide-producing tumour
81523/3,Preferred,1,Pancreatic peptide and pancreatic peptide-like peptide within terminal tyrosine amide-producing tumour,C25.4,,,,,Pancreatic peptide and pancreatic peptide-like peptide within terminal tyrosine amide-producing tumour (C25.4)
81523/3,Synonym,0,PP/PYY-producing tumour,C25.4,,,,,PP/PYY-producing tumour (C25.4)
81530/3,Preferred,1,Gastrinoma,,,,,,Gastrinoma
81530/3,Synonym,0,"Neuroendocrine tumour, gastrin-producing",,,,,,"Neuroendocrine tumour, gastrin-producing"
81530/3,Synonym,0,G-cell tumour,,,,,,G-cell tumour
81530/3,Synonym,0,G-cell NET,,,,,,G-cell NET
81530/3,Synonym,0,Gastrin-producing G-cell NET,,,,,,Gastrin-producing G-cell NET
81530/3,Synonym,0,Gastrin cell tumour,,,,,,Gastrin cell tumour
81540/3,Preferred,1,Mixed neuroendocrine-non-neuroendocrine neoplasm (MiNEN),,,,,,Mixed neuroendocrine-non-neuroendocrine neoplasm (MiNEN)
81540/3,Synonym,0,Mixed neuroendocrine and non-neuroendocrine carcinoma,,,,,,Mixed neuroendocrine and non-neuroendocrine carcinoma
81541/3,Preferred,1,"Mixed pancreatic endocrine and exocrine tumour, malignant",C25._,,,,,"Mixed pancreatic endocrine and exocrine tumour, malignant (C25._)"
81541/3,Synonym,0,Mixed islet cell and exocrine adenocarcinoma,C25._,,,,,Mixed islet cell and exocrine adenocarcinoma (C25._)
81541/3,Synonym,0,Mixed endocrine and exocrine adenocarcinoma,C25._,,,,,Mixed endocrine and exocrine adenocarcinoma (C25._)
81541/3,Synonym,0,Mixed exocrine-endocrine carcinoma,C25._,,,,,Mixed exocrine-endocrine carcinoma (C25._)
81542/3,Preferred,1,Mixed acinar-neuroendocrine carcinoma,C25._,,,,,Mixed acinar-neuroendocrine carcinoma (C25._)
81542/3,Synonym,0,Mixed acinar carcinoma-neuroendocrine carcinoma,C25._,,,,,Mixed acinar carcinoma-neuroendocrine carcinoma (C25._)
81542/3,Synonym,0,Mixed acinar-endocrine carcinoma,C25._,,,,,Mixed acinar-endocrine carcinoma (C25._)
81543/3,Preferred,1,"Carcinoma, mixed acinar-neuroendocrine-ductal",C25._,,,,,"Carcinoma, mixed acinar-neuroendocrine-ductal (C25._)"
81543/3,Synonym,0,Mixed acinar-endocrine-ductal carcinoma,C25._,,,,,Mixed acinar-endocrine-ductal carcinoma (C25._)
81544/3,Preferred,1,Mixed ductal adenocarcinoma-neuroendocrine carcinoma,C25._,,,,,Mixed ductal adenocarcinoma-neuroendocrine carcinoma (C25._)
81544/3,Synonym,0,Mixed ductal-neuroendocrine carcinoma,C25._,,,,,Mixed ductal-neuroendocrine carcinoma (C25._)
81544/3,Synonym,0,Mixed ductal-endocrine carcinoma,C25._,,,,,Mixed ductal-endocrine carcinoma (C25._)
81550/3,Preferred,1,VIPoma,,,,,,VIPoma
81560/3,Preferred,1,Somatostatinoma,,,,,,Somatostatinoma
81560/3,Synonym,0,"Neuroendocrine tumour, somatostatin-producing",,,,,,"Neuroendocrine tumour, somatostatin-producing"
81560/3,Synonym,0,Somatostatin cell tumour,,,,,,Somatostatin cell tumour
81560/3,Synonym,0,D-cell NET,,,,,,D-cell NET
81560/3,Synonym,0,Somatostatin-producing D-cell NET ,,,,,,Somatostatin-producing D-cell NET 
81580/3,Preferred,1,"ACTH-producing tumour, NOS",,,,,,"ACTH-producing tumour, NOS"
81580/3,Related,0,"ACTH-producing tumour, ectopic",,,,,,"ACTH-producing tumour, ectopic"
81581/3,Preferred,1,"Neuroendocrine tumour, calcitonin-producing",,,,,,"Neuroendocrine tumour, calcitonin-producing"
81582/3,Preferred,1,"Neuroendocrine tumour, CRH-producing",,,,,,"Neuroendocrine tumour, CRH-producing"
81583/3,Preferred,1,"Neuroendocrine tumour, cholecystokinin-producing",,,,,,"Neuroendocrine tumour, cholecystokinin-producing"
81583/3,Synonym,0,"Neuroendocrine tumour, CCK-producing",,,,,,"Neuroendocrine tumour, CCK-producing"
81584/3,Preferred,1,"Neuroendocrine tumour, erythropoietin-producing",,,,,,"Neuroendocrine tumour, erythropoietin-producing"
81585/3,Preferred,1,"Neuroendocrine tumour, GHRH-producing",,,,,,"Neuroendocrine tumour, GHRH-producing"
81585/3,Synonym,0,GHRH-producing tumour,,,,,,GHRH-producing tumour
81586/3,Preferred,1,Ghrelin-producing neuroendocrine tumour,,,,,,Ghrelin-producing neuroendocrine tumour
81587/3,Preferred,1,PTH/PTHrP-producing neuroendocrine tumour,,,,,,PTH/PTHrP-producing neuroendocrine tumour
81588/3,Preferred,1,Vasopressin-producing neuroendocrine tumour,,,,,,Vasopressin-producing neuroendocrine tumour
81589/3,Preferred,1,"Endocrine tumour, functioning, NOS",,[obs],,,,"Endocrine tumour, functioning, NOS [obs]"
81600/0,Preferred,1,Bile duct adenoma,"C22.1, C24._",,,,,"Bile duct adenoma (C22.1, C24._)"
81600/0,Synonym,0,Peribiliary gland hamartoma,,,,,,Peribiliary gland hamartoma
81600/0,Synonym,0,Cholangioma,"C22.1, C24._",,,,,"Cholangioma (C22.1, C24._)"
81600/3,Preferred,1,"Cholangiocarcinoma, NOS","C22.1, C24._",,,,,"Cholangiocarcinoma, NOS (C22.1, C24._)"
81600/3,Synonym,0,Bile duct adenocarcinoma,"C22.1, C24._",,,,,"Bile duct adenocarcinoma (C22.1, C24._)"
81600/3,Synonym,0,Bile duct carcinoma,"C22.1, C24._",,,,,"Bile duct carcinoma (C22.1, C24._)"
81600/3,Related,0,Carcinoma of extrahepatic bile ducts,,,,,,Carcinoma of extrahepatic bile ducts
81601/3,Preferred,1,"Cholangiocarcinoma, large duct",,,,,,"Cholangiocarcinoma, large duct"
81602/3,Preferred,1,"Cholangiocarcinoma, small duct",,,,,,"Cholangiocarcinoma, small duct"
81610/0,Preferred,1,Bile duct cystadenoma,"C22.1, C24._",,,,,"Bile duct cystadenoma (C22.1, C24._)"
81610/3,Preferred,1,Bile duct cystadenocarcinoma,"C22.1, C24._",,,,,"Bile duct cystadenocarcinoma (C22.1, C24._)"
81620/3,Preferred,1,Perihilar cholangiocarcinoma,C24.3,,,,,Perihilar cholangiocarcinoma (C24.3)
81620/3,Synonym,0,Klatskin tumour,C24.3,[obs],,,,Klatskin tumour (C24.3) [obs]
81630/0,Preferred,1,"Pancreatobiliary neoplasm, non-invasive",C24.1,,,,,"Pancreatobiliary neoplasm, non-invasive (C24.1)"
81631/0,Preferred,1,Intra-ampullary papillary-tubular neoplasm with low-grade dysplasia,C24.1,,,,,Intra-ampullary papillary-tubular neoplasm with low-grade dysplasia (C24.1)
81631/0,Synonym,0,"Intra-ampullary papillary-tubular neoplasm, low-grade",C24.1,,,,,"Intra-ampullary papillary-tubular neoplasm, low-grade (C24.1)"
81631/0,Synonym,0,Non-invasive pancreatobiliary papillary neoplasm with low-grade dysplasia,C24.1,,,,,Non-invasive pancreatobiliary papillary neoplasm with low-grade dysplasia (C24.1)
81631/0,Synonym,0,Non-invasive pancreatobiliary papillary neoplasm with low-grade intraepithelial neoplasia,C24.1,,,,,Non-invasive pancreatobiliary papillary neoplasm with low-grade intraepithelial neoplasia (C24.1)
81631/2,Preferred,1,Intra-ampullary papillary-tubular neoplasm with high-grade dysplasia,C24.1,,,,,Intra-ampullary papillary-tubular neoplasm with high-grade dysplasia (C24.1)
81631/2,Synonym,0,"Intra-ampullary papillary-tubular neoplasm, high-grade",C24.1,,,,,"Intra-ampullary papillary-tubular neoplasm, high-grade (C24.1)"
81631/2,Synonym,0,Non-invasive pancreatobiliary papillary neoplasm with high-grade dysplasia,C24.1,,,,,Non-invasive pancreatobiliary papillary neoplasm with high-grade dysplasia (C24.1)
81631/2,Synonym,0,"Papillary neoplasm, pancreatobiliary type, with high-grade intraepithelial neoplasia",C24.1,,,,,"Papillary neoplasm, pancreatobiliary type, with high-grade intraepithelial neoplasia (C24.1)"
81631/2,Synonym,0,Non-invasive pancreatobiliary papillary neoplasm with high-grade intraepithelial neoplasia,C24.1,,,,,Non-invasive pancreatobiliary papillary neoplasm with high-grade intraepithelial neoplasia (C24.1)
81630/3,Preferred,1,Pancreatobiliary-type carcinoma,C24.1,,,,,Pancreatobiliary-type carcinoma (C24.1)
81630/3,Synonym,0,"Adenocarcinoma, pancreatobiliary type",C24.1,,,,,"Adenocarcinoma, pancreatobiliary type (C24.1)"
81630/3,Synonym,0,"Tubular adenocarcinoma, pancreatobiliary/gastric type",C24.1,,,,,"Tubular adenocarcinoma, pancreatobiliary/gastric type (C24.1)"
81700/0,Preferred,1,Liver cell adenoma,C22.0,,,,,Liver cell adenoma (C22.0)
81700/0,Synonym,0,"Hepatocellular adenoma, NOS",C22.0,,,,,"Hepatocellular adenoma, NOS (C22.0)"
81700/0,Synonym,0,"Hepatoma, benign",C22.0,,,,,"Hepatoma, benign (C22.0)"
81702/0,Preferred,1,"Hepatocellular adenoma, HNF1A-inactivated",C22.0,,,,,"Hepatocellular adenoma, HNF1A-inactivated (C22.0)"
81703/0,Preferred,1,"Hepatocellular adenoma, inflammatory",C22.0,,,,,"Hepatocellular adenoma, inflammatory (C22.0)"
81704/0,Preferred,1,"Hepatocellular adenoma, β-catenin-activated, NOS",C22.0,,,,,"Hepatocellular adenoma, β-catenin-activated, NOS (C22.0)"
81705/0,Preferred,1,"Hepatocellular adenoma, β-catenin-activated inflammatory",C22.0,,,,,"Hepatocellular adenoma, β-catenin-activated inflammatory (C22.0)"
81700/3,Preferred,1,"Hepatocellular carcinoma, NOS",C22.0,,,,,"Hepatocellular carcinoma, NOS (C22.0)"
81700/3,Synonym,0,"Hepatoma, NOS",C22.0,,,,,"Hepatoma, NOS (C22.0)"
81700/3,Synonym,0,Hepatocarcinoma,C22.0,,,,,Hepatocarcinoma (C22.0)
81700/3,Synonym,0,"Hepatoma, malignant",C22.0,,,,,"Hepatoma, malignant (C22.0)"
81700/3,Synonym,0,Liver cell carcinoma,C22.0,,,,,Liver cell carcinoma (C22.0)
81701/3,Preferred,1,"Hepatocellular carcinoma, conventional",C22.0,,,,,"Hepatocellular carcinoma, conventional (C22.0)"
81703/3,Preferred,1,"Hepatocellular carcinoma, lymphocyte-rich",C22.0,,,,,"Hepatocellular carcinoma, lymphocyte-rich (C22.0)"
81706/3,Preferred,1,"Hepatocellular carcinoma, neutrophil-rich",C22.0,,,,,"Hepatocellular carcinoma, neutrophil-rich (C22.0)"
81707/3,Preferred,1,"Hepatocellular carcinoma, chromophobe type",C22.0,,,,,"Hepatocellular carcinoma, chromophobe type (C22.0)"
81708/3,Preferred,1,"Hepatocellular carcinoma, macrotrabecular massive",C22.0,,,,,"Hepatocellular carcinoma, macrotrabecular massive (C22.0)"
81709/3,Preferred,1,"Hepatocellular carcinoma, steatohepatitic",C22.0,,,,,"Hepatocellular carcinoma, steatohepatitic (C22.0)"
81710/3,Preferred,1,"Hepatocellular carcinoma, fibrolamellar",C22.0,,,,,"Hepatocellular carcinoma, fibrolamellar (C22.0)"
81710/3,Synonym,0,"Carcinoma, fibrolamellar",C22.0,,,,,"Carcinoma, fibrolamellar (C22.0)"
81720/3,Preferred,1,"Hepatocellular carcinoma, scirrhous",C22.0,,,,,"Hepatocellular carcinoma, scirrhous (C22.0)"
81720/3,Synonym,0,Sclerosing hepatic carcinoma,C22.0,,,,,Sclerosing hepatic carcinoma (C22.0)
81730/3,Preferred,1,"Hepatocellular carcinoma, sarcomatoid",C22.0,,,,,"Hepatocellular carcinoma, sarcomatoid (C22.0)"
81730/3,Synonym,0,"Hepatocellular carcinoma, spindle cell variant",C22.0,,,,,"Hepatocellular carcinoma, spindle cell variant (C22.0)"
81740/3,Preferred,1,"Hepatocellular carcinoma, clear cell-type",C22.0,,,,,"Hepatocellular carcinoma, clear cell-type (C22.0)"
81740/3,Synonym,0,"Hepatocellular carcinoma, clear cell",C22.0,,,,,"Hepatocellular carcinoma, clear cell (C22.0)"
81750/3,Preferred,1,"Hepatocellular carcinoma, pleomorphic type",C22.0,,,,,"Hepatocellular carcinoma, pleomorphic type (C22.0)"
81800/3,Preferred,1,Combined hepatocellular carcinoma and cholangiocarcinoma,C22.0,,,,,Combined hepatocellular carcinoma and cholangiocarcinoma (C22.0)
81800/3,Synonym,0,Combined hepatocellular-cholangiocarcinoma,C22.0,,,,,Combined hepatocellular-cholangiocarcinoma (C22.0)
81800/3,Synonym,0,Hepatocholangiocarcinoma,C22.0,,,,,Hepatocholangiocarcinoma (C22.0)
81800/3,Synonym,0,Mixed hepatocellular and bile duct carcinoma,C22.0,,,,,Mixed hepatocellular and bile duct carcinoma (C22.0)
81800/3,Synonym,0,Mixed hepatocellular-cholangiocarcinoma,,,,,,Mixed hepatocellular-cholangiocarcinoma
81800/3,Synonym,0,Mixed hepatobiliary carcinoma,,,,,,Mixed hepatobiliary carcinoma
81900/0,Preferred,1,Trabecular adenoma,,,,,,Trabecular adenoma
81900/3,Preferred,1,Trabecular adenocarcinoma,,,,,,Trabecular adenocarcinoma
81900/3,Synonym,0,Trabecular carcinoma,,,,,,Trabecular carcinoma
81910/0,Preferred,1,Embryonal adenoma,,,,,,Embryonal adenoma
82000/0,Preferred,1,"Cylindroma, NOS",,,,,,"Cylindroma, NOS"
82000/0,Related,0,Turban tumour,C44.4,,,,,Turban tumour (C44.4)
82000/0,Related,0,Eccrine dermal cylindroma,C44._,,,,,Eccrine dermal cylindroma (C44._)
82001/0,Preferred,1,Cylindrospiradenoma,C44._,,,,,Cylindrospiradenoma (C44._)
82001/0,Synonym,0,Spiradenocylindroma,C44._,,,,,Spiradenocylindroma (C44._)
82000/3,Preferred,1,"Adenoid cystic carcinoma, NOS",,,,,,"Adenoid cystic carcinoma, NOS"
82000/3,Synonym,0,"Adenocarcinoma, cylindroid",,[obs],,,,"Adenocarcinoma, cylindroid [obs]"
82000/3,Synonym,0,Adenocystic carcinoma,,,,,,Adenocystic carcinoma
82000/3,Related,0,"Bronchial adenoma, cylindroid",C34._,[obs],,,,"Bronchial adenoma, cylindroid (C34._) [obs]"
82002/3,Preferred,1,Thymic carcinoma with adenoid cystic carcinoma-like features,C37.9,,,,,Thymic carcinoma with adenoid cystic carcinoma-like features (C37.9)
82003/3,Preferred,1,Classic adenoid cystic carcinoma,,,,,,Classic adenoid cystic carcinoma
82004/3,Preferred,1,Solid-basaloid adenoid cystic carcinoma,,,,,,Solid-basaloid adenoid cystic carcinoma
82005/3,Preferred,1,Adenoid cystic carcinoma with high-grade transformation,,,,,,Adenoid cystic carcinoma with high-grade transformation
82010/1,Preferred,1,Cribriform tumour,C44._,,,,,Cribriform tumour (C44._)
82010/1,Synonym,0,Primary cutaneous cribriform carcinoma,C44._,,,,,Primary cutaneous cribriform carcinoma (C44._)
82010/2,Preferred,1,Cribriform carcinoma in situ,C50._,,,,,Cribriform carcinoma in situ (C50._)
