code,level,preferred,term,codeReference,obs,seeAlso,excludes,other,description
80202/3,Synonym,0,Undifferentiated thyroid carcinoma,C73.9,,,,,Undifferentiated thyroid carcinoma (C73.9)
80203/3,Preferred,1,Dedifferentiated carcinoma,,,,,,Dedifferentiated carcinoma
80204/3,Preferred,1,Poorly differentiated urothelial carcinoma,,,,,,Poorly differentiated urothelial carcinoma
80210/3,Preferred,1,"Carcinoma, anaplastic, NOS",,,,,,"Carcinoma, anaplastic, NOS"
80220/3,Preferred,1,"Pleomorphic carcinoma, NOS",,,,,,"Pleomorphic carcinoma, NOS"
80221/3,Preferred,1,"Carcinoma, pleomorphic giant cell",,,,,,"Carcinoma, pleomorphic giant cell"
80230/3,Preferred,1,Nuclear protein in testis (NUT)-associated carcinoma,,,,,,Nuclear protein in testis (NUT)-associated carcinoma
80230/3,Synonym,0,NUT carcinoma,,,,,,NUT carcinoma
80230/3,Related,0,NUT midline carcinoma,,,,,,NUT midline carcinoma
80230/3,Related,0,"Carcinoma, NUT adnexal",C44._,,,,,"Carcinoma, NUT adnexal (C44._)"
80300/3,Preferred,1,Giant cell and spindle cell carcinoma,,,,,,Giant cell and spindle cell carcinoma
80310/3,Preferred,1,"Giant cell carcinoma, NOS",,,,,,"Giant cell carcinoma, NOS"
80311/3,Preferred,1,Giant cell urothelial carcinoma,,,,,,Giant cell urothelial carcinoma
80320/3,Preferred,1,"Spindle cell carcinoma, NOS",,,,,,"Spindle cell carcinoma, NOS"
80330/3,Preferred,1,Pseudosarcomatous carcinoma,,,,,,Pseudosarcomatous carcinoma
80330/3,Synonym,0,Sarcomatoid carcinoma,,,,(excludes salivary gland M-80331/3),,Sarcomatoid carcinoma (excludes salivary gland M-80331/3)
80330/3,Synonym,0,Carcinoma with sarcomatoid component,,,,,,Carcinoma with sarcomatoid component
80330/3,Synonym,0,Carcinoma with mesenchymal differentiation,,,,,,Carcinoma with mesenchymal differentiation
80331/3,Preferred,1,"Salivary duct carcinoma, sarcomatoid","C07.9, C08._",,,,,"Salivary duct carcinoma, sarcomatoid (C07.9, C08._)"
80340/3,Preferred,1,Polygonal cell carcinoma,,[obs],,,,Polygonal cell carcinoma [obs]
80350/3,Preferred,1,Carcinoma with osteoclast-like giant cells,,,,,,Carcinoma with osteoclast-like giant cells
80351/3,Preferred,1,Squamous carcinoma with osteoclast-like giant cells,,,,,,Squamous carcinoma with osteoclast-like giant cells
80352/3,Preferred,1,Undifferentiated carcinoma with osteoclast-like giant cells,,,,,,Undifferentiated carcinoma with osteoclast-like giant cells
80352/3,Synonym,0,Osteoclastic giant cell carcinoma,,,,,,Osteoclastic giant cell carcinoma
80400/0,Preferred,1,"Tumourlet, benign",,,,,,"Tumourlet, benign"
80401/0,Preferred,1,Diffuse idiopathic neuroendocrine cell hyperplasia,,,,,,Diffuse idiopathic neuroendocrine cell hyperplasia
80400/1,Preferred,1,"Tumourlet, NOS",,,,,,"Tumourlet, NOS"
80410/3,Preferred,1,"Small cell carcinoma, NOS",,,,,,"Small cell carcinoma, NOS"
80410/3,Synonym,0,Reserve cell carcinoma,,,,,,Reserve cell carcinoma
80410/3,Synonym,0,Round cell carcinoma,,,,,,Round cell carcinoma
80410/3,Synonym,0,Small cell neuroendocrine carcinoma,,,,,,Small cell neuroendocrine carcinoma
80410/3,Synonym,0,"Poorly differentiated neuroendocrine carcinoma, small cell type",,,,,,"Poorly differentiated neuroendocrine carcinoma, small cell type"
80410/3,Synonym,0,"Small cell carcinoma, pulmonary type",,,,,,"Small cell carcinoma, pulmonary type"
80410/3,Synonym,0,"Neuroendocrine carcinoma, small cell type",,,,,,"Neuroendocrine carcinoma, small cell type"
80410/3,Synonym,0,Small cell undifferentiated carcinoma,,,,,,Small cell undifferentiated carcinoma
80410/3,Synonym,0,Oat cell carcinoma,C34._,[obs],,,,Oat cell carcinoma (C34._) [obs]
80410/3,Synonym,0,"Small cell carcinoma, fusiform cell",,[obs],,,,"Small cell carcinoma, fusiform cell [obs]"
80410/3,Synonym,0,"Small cell carcinoma, intermediate cell",,[obs],,,,"Small cell carcinoma, intermediate cell [obs]"
80440/3,Preferred,1,"Small cell carcinoma, hypercalcaemic type, NOS",C56.9,,,,,"Small cell carcinoma, hypercalcaemic type, NOS (C56.9)"
80440/3,Synonym,0,SMARCA4-deficient carcinoma of ovary,C56.9,,,,,SMARCA4-deficient carcinoma of ovary (C56.9)
80441/3,Preferred,1,"Small cell carcinoma, hypercalcaemic type, large cell subtype",C56.9,,,,,"Small cell carcinoma, hypercalcaemic type, large cell subtype (C56.9)"
80442/3,Preferred,1,SWI/SNF complex-deficient sinonasal carcinoma,"C30._, C31._",,,,,"SWI/SNF complex-deficient sinonasal carcinoma (C30._, C31._)"
80443/3,Preferred,1,SMARCB1-deficient sinonasal carcinoma,"C30._, C31._",,,,,"SMARCB1-deficient sinonasal carcinoma (C30._, C31._)"
80443/3,Synonym,0,SMARCB1-deficient undifferentiated sinonasal carcinoma,"C30._, C31._",,,,,"SMARCB1-deficient undifferentiated sinonasal carcinoma (C30._, C31._)"
80444/3,Preferred,1,SMARCB1-deficient sinonasal adenocarcinoma,"C30._, C31._",,,,,"SMARCB1-deficient sinonasal adenocarcinoma (C30._, C31._)"
80445/3,Preferred,1,SMARCA4-deficient sinonasal carcinoma,"C30._, C31._",,,,,"SMARCA4-deficient sinonasal carcinoma (C30._, C31._)"
80445/3,Synonym,0,SMARCA4-deficient undifferentiated sinonasal carcinoma,"C30._, C31._",,,,,"SMARCA4-deficient undifferentiated sinonasal carcinoma (C30._, C31._)"
80446/3,Preferred,1,SMARCA4-deficient undifferentiated tumour,,,,,,SMARCA4-deficient undifferentiated tumour
80446/3,Related,0,Thoracic SMARCA4-deficient undifferentiated tumour,,,,,,Thoracic SMARCA4-deficient undifferentiated tumour
80450/3,Preferred,1,Combined small cell carcinoma,,,,,,Combined small cell carcinoma
80450/3,Synonym,0,Combined small cell neuroendocrine carcinoma,,,,,,Combined small cell neuroendocrine carcinoma
80450/3,Synonym,0,Mixed small cell carcinoma,,,,,,Mixed small cell carcinoma
80451/3,Preferred,1,Combined small cell-adenocarcinoma,,,,,,Combined small cell-adenocarcinoma
80452/3,Preferred,1,Combined small cell-large cell carcinoma,,,,,,Combined small cell-large cell carcinoma
80452/3,Synonym,0,Combined small cell-large cell neuroendocrine carcinoma,,,,,,Combined small cell-large cell neuroendocrine carcinoma
80452/3,Synonym,0,Small cell and large cell endocrine carcinoma,,,,,,Small cell and large cell endocrine carcinoma
80453/3,Preferred,1,Combined small cell-squamous cell carcinoma,,,,,,Combined small cell-squamous cell carcinoma
80454/3,Preferred,1,Combined small cell-urothelial carcinoma,"C65.9, C66.9, C67._, C68.0",,,,,"Combined small cell-urothelial carcinoma (C65.9, C66.9, C67._, C68.0)"
80460/3,Preferred,1,Non-small cell carcinoma,C34._,,,,,Non-small cell carcinoma (C34._)
80500/0,Preferred,1,"Papilloma, NOS",,,,(except of bladder M-81200/0),,"Papilloma, NOS (except of bladder M-81200/0)"
80500/2,Preferred,1,"Papillary carcinoma in situ, NOS",,,,,,"Papillary carcinoma in situ, NOS"
80500/3,Preferred,1,"Papillary carcinoma, NOS",,,,"(except of thyroid M-82603/3; except of bladder 81300/3, except of lung 82600/3; except of breast 85030/3)",,"Papillary carcinoma, NOS (except of thyroid M-82603/3; except of bladder 81300/3, except of lung 82600/3; except of breast 85030/3)"
80510/0,Preferred,1,Verrucous papilloma,,,,,,Verrucous papilloma
80510/3,Preferred,1,"Verrucous carcinoma, NOS",,,,,,"Verrucous carcinoma, NOS"
80510/3,Synonym,0,Verrucous epidermoid carcinoma,,,,,,Verrucous epidermoid carcinoma
80510/3,Synonym,0,Verrucous squamous cell carcinoma,,,,,,Verrucous squamous cell carcinoma
80511/3,Preferred,1,Carcinoma cuniculatum,,,,,,Carcinoma cuniculatum
80520/0,Preferred,1,"Squamous cell papilloma, NOS",,,,,,"Squamous cell papilloma, NOS"
80520/0,Synonym,0,Keratotic papilloma,,,,,,Keratotic papilloma
80520/0,Synonym,0,"Squamous papilloma, NOS",,,,,,"Squamous papilloma, NOS"
80520/0,Related,0,Vestibular micropapillomatosis,C51._,,,,,Vestibular micropapillomatosis (C51._)
80520/0,Related,0,Vestibular papillomatosis,C51._,,,,,Vestibular papillomatosis (C51._)
80520/0,Related,0,Laryngeal papillomatosis,C32._,,,,,Laryngeal papillomatosis (C32._)
80520/0,Related,0,Hirsuties papillaris vulvae,C51._,,,,,Hirsuties papillaris vulvae (C51._)
80520/0,Related,0,Micropapillomatosis labialis,C51._,,,,,Micropapillomatosis labialis (C51._)
80520/0,Related,0,Vaginal papilloma,C52.9,,,,,Vaginal papilloma (C52.9)
80520/0,Related,0,Conjunctival papilloma,,,,,,Conjunctival papilloma
80520/0,Related,0,Caruncular papilloma,,,,,,Caruncular papilloma
80521/0,Preferred,1,Squamous papilloma with low-grade dysplasia,,,,,,Squamous papilloma with low-grade dysplasia
80522/0,Preferred,1,"Squamous cell papilloma, exophytic",,,,,,"Squamous cell papilloma, exophytic"
80522/0,Synonym,0,"Squamous papilloma, exophytic",,,,,,"Squamous papilloma, exophytic"
80523/0,Preferred,1,"Squamous cell papilloma, mixed",,,,,,"Squamous cell papilloma, mixed"
80523/0,Synonym,0,"Squamous papilloma, mixed",,,,,,"Squamous papilloma, mixed"
80524/0,Preferred,1,"Benign keratosis, NOS",,,(See also M-80700/0 - M80706/0),,,"Benign keratosis, NOS (See also M-80700/0 - M80706/0)"
80525/0,Preferred,1,"Seborrhoeic keratosis, NOS",,,,,,"Seborrhoeic keratosis, NOS"
80526/0,Preferred,1,"Seborrhoeic keratosis, irritated",,,,,,"Seborrhoeic keratosis, irritated"
80527/0,Preferred,1,Stucco keratosis,,,,,,Stucco keratosis
80528/0,Preferred,1,Solar lentigo,,,,,,Solar lentigo
80529/0,Preferred,1,Lichen planus-like keratosis,,,,,,Lichen planus-like keratosis
80529/0,Synonym,0,Lichenoid keratosis,,,,,,Lichenoid keratosis
8052A/0,Preferred,1,Keratocystoma,,,,,,Keratocystoma
8052B/0,Preferred,1,Onychopapilloma,"C44.6, C44.7",,,,,"Onychopapilloma (C44.6, C44.7)"
8052C/0,Preferred,1,Ungual fibrokeratoma,"C44.6, C44.7",,,,,"Ungual fibrokeratoma (C44.6, C44.7)"
8052D/0,Preferred,1,Onychocytic matricoma,"C44.6, C44.7",,,,,"Onychocytic matricoma (C44.6, C44.7)"
8052D/0,Synonym,0,Longitudinal subungual acanthoma,"C44.6, C44.7",,,,,"Longitudinal subungual acanthoma (C44.6, C44.7)"
8052E/0,Preferred,1,Melanoacanthoma,,,,,,Melanoacanthoma
80520/2,Preferred,1,"Papillary squamous cell carcinoma, non-invasive",,,,,,"Papillary squamous cell carcinoma, non-invasive"
80520/2,Synonym,0,Papillary squamous cell carcinoma in situ,,,,,,Papillary squamous cell carcinoma in situ
80521/2,Preferred,1,Squamous papilloma with high-grade dysplasia,,,,,,Squamous papilloma with high-grade dysplasia
80520/3,Preferred,1,"Papillary squamous cell carcinoma, NOS",,,,,,"Papillary squamous cell carcinoma, NOS"
80520/3,Synonym,0,Papillary epidermoid carcinoma,,,,,,Papillary epidermoid carcinoma
80530/0,Preferred,1,"Squamous cell papilloma, inverted",,,,,,"Squamous cell papilloma, inverted"
80530/0,Synonym,0,"Squamous cell papilloma, endophytic",,,,,,"Squamous cell papilloma, endophytic"
80530/0,Synonym,0,"Squamous papilloma, inverted",,,,,,"Squamous papilloma, inverted"
80540/0,Preferred,1,Warty dyskeratoma,,,,,,Warty dyskeratoma
80540/3,Preferred,1,"Warty carcinoma, NOS",,,,,,"Warty carcinoma, NOS"
80540/3,Synonym,0,Condylomatous carcinoma,,,,,,Condylomatous carcinoma
80541/3,Preferred,1,"Warty carcinoma, HPV-associated",,,,,,"Warty carcinoma, HPV-associated"
80542/3,Preferred,1,Warty-basaloid carcinoma,,,,,,Warty-basaloid carcinoma
80600/0,Preferred,1,Squamous papillomatosis,,,,,,Squamous papillomatosis
80600/0,Synonym,0,Squamous cell papillomatosis,,,,,,Squamous cell papillomatosis
80600/0,Synonym,0,"Papillomatosis, NOS",,,,,,"Papillomatosis, NOS"
80700/0,Preferred,1,"Actinic keratosis, NOS",,,,,,"Actinic keratosis, NOS"
80701/0,Preferred,1,"Actinic keratosis, proliferative",,,,,,"Actinic keratosis, proliferative"
80702/0,Preferred,1,"Actinic keratosis, hypertrophic",,,,,,"Actinic keratosis, hypertrophic"
80703/0,Preferred,1,"Actinic keratosis, lichenoid",,,,,,"Actinic keratosis, lichenoid"
80704/0,Preferred,1,"Actinic keratosis, pigmented",,,,,,"Actinic keratosis, pigmented"
80705/0,Preferred,1,Arsenical keratosis,,,,,,Arsenical keratosis
80706/0,Preferred,1,PUVA keratosis,,,,,,PUVA keratosis
80700/2,Preferred,1,"Squamous cell carcinoma in situ, NOS",,,,,,"Squamous cell carcinoma in situ, NOS"
80700/2,Synonym,0,"Epidermoid carcinoma in situ, NOS",,,,,,"Epidermoid carcinoma in situ, NOS"
80700/2,Synonym,0,Intraepithelial squamous cell carcinoma,,,,,,Intraepithelial squamous cell carcinoma
80700/2,Related,0,Bowen disease,C44._,,,,,Bowen disease (C44._)
80700/2,Synonym,0,"Intraepidermal carcinoma, NOS",C44._,,,,,"Intraepidermal carcinoma, NOS (C44._)"
