icd10_code,icd10_desc,icdo4_code,icdo4_desc
C44.309,Unspecified malignant neoplasm of skin of other parts of face,80970/3,"Basal cell carcinoma, nodular"
C44.31,Basal cell carcinoma of skin of other and unspecified parts of face,80970/3,"Basal cell carcinoma, nodular"
C44.310,Basal cell carcinoma of skin of unspecified parts of face,80970/3,"Basal cell carcinoma, nodular"
C44.311,Basal cell carcinoma of skin of nose,80970/3,"Basal cell carcinoma, nodular"
C44.319,Basal cell carcinoma of skin of other parts of face,80970/3,"Basal cell carcinoma, nodular"
C44.32,Squamous cell carcinoma of skin of other and unspecified parts of face,80970/3,"Basal cell carcinoma, nodular"
C44.320,Squamous cell carcinoma of skin of unspecified parts of face,80970/3,"Basal cell carcinoma, nodular"
C44.321,Squamous cell carcinoma of skin of nose,80970/3,"Basal cell carcinoma, nodular"
C44.329,Squamous cell carcinoma of skin of other parts of face,80970/3,"Basal cell carcinoma, nodular"
C44.39,Other specified malignant neoplasm of skin of other and unspecified parts of face,80970/3,"Basal cell carcinoma, nodular"
C44.390,Other specified malignant neoplasm of skin of unspecified parts of face,80970/3,"Basal cell carcinoma, nodular"
C44.391,Other specified malignant neoplasm of skin of nose,80970/3,"Basal cell carcinoma, nodular"
C44.399,Other specified malignant neoplasm of skin of other parts of face,80970/3,"Basal cell carcinoma, nodular"
C44.4,Other and unspecified malignant neoplasm of skin of scalp and neck,80970/3,"Basal cell carcinoma, nodular"
C44.40,Unspecified malignant neoplasm of skin of scalp and neck,80970/3,"Basal cell carcinoma, nodular"
C44.41,Basal cell carcinoma of skin of scalp and neck,80970/3,"Basal cell carcinoma, nodular"
C44.42,Squamous cell carcinoma of skin of scalp and neck,80970/3,"Basal cell carcinoma, nodular"
C44.49,Other specified malignant neoplasm of skin of scalp and neck,80970/3,"Basal cell carcinoma, nodular"
C44.5,Other and unspecified malignant neoplasm of skin of trunk,80970/3,"Basal cell carcinoma, nodular"
C44.50,Unspecified malignant neoplasm of skin of trunk,80970/3,"Basal cell carcinoma, nodular"
C44.500,Unspecified malignant neoplasm of anal skin,80970/3,"Basal cell carcinoma, nodular"
C44.501,Unspecified malignant neoplasm of skin of breast,80970/3,"Basal cell carcinoma, nodular"
C44.509,Unspecified malignant neoplasm of skin of other part of trunk,80970/3,"Basal cell carcinoma, nodular"
C44.51,Basal cell carcinoma of skin of trunk,80970/3,"Basal cell carcinoma, nodular"
C44.510,Basal cell carcinoma of anal skin,80970/3,"Basal cell carcinoma, nodular"
C44.511,Basal cell carcinoma of skin of breast,80970/3,"Basal cell carcinoma, nodular"
C44.519,Basal cell carcinoma of skin of other part of trunk,80970/3,"Basal cell carcinoma, nodular"
C44.52,Squamous cell carcinoma of skin of trunk,80970/3,"Basal cell carcinoma, nodular"
C44.520,Squamous cell carcinoma of anal skin,80970/3,"Basal cell carcinoma, nodular"
C44.521,Squamous cell carcinoma of skin of breast,80970/3,"Basal cell carcinoma, nodular"
C44.529,Squamous cell carcinoma of skin of other part of trunk,80970/3,"Basal cell carcinoma, nodular"
C44.59,Other specified malignant neoplasm of skin of trunk,80970/3,"Basal cell carcinoma, nodular"
C44.590,Other specified malignant neoplasm of anal skin,80970/3,"Basal cell carcinoma, nodular"
C44.591,Other specified malignant neoplasm of skin of breast,80970/3,"Basal cell carcinoma, nodular"
C44.599,Other specified malignant neoplasm of skin of other part of trunk,80970/3,"Basal cell carcinoma, nodular"
C44.6,"Other and unspecified malignant neoplasm of skin of upper limb, including shoulder",80970/3,"Basal cell carcinoma, nodular"
C44.60,"Unspecified malignant neoplasm of skin of upper limb, including shoulder",80970/3,"Basal cell carcinoma, nodular"
C44.601,"Unspecified malignant neoplasm of skin of unspecified upper limb, including shoulder",80970/3,"Basal cell carcinoma, nodular"
C44.602,"Unspecified malignant neoplasm of skin of right upper limb, including shoulder",80970/3,"Basal cell carcinoma, nodular"
C44.609,"Unspecified malignant neoplasm of skin of left upper limb, including shoulder",80970/3,"Basal cell carcinoma, nodular"
C44.61,"Basal cell carcinoma of skin of upper limb, including shoulder",80970/3,"Basal cell carcinoma, nodular"
C44.611,"Basal cell carcinoma of skin of unspecified upper limb, including shoulder",80970/3,"Basal cell carcinoma, nodular"
C44.612,"Basal cell carcinoma of skin of right upper limb, including shoulder",80970/3,"Basal cell carcinoma, nodular"
C44.619,"Basal cell carcinoma of skin of left upper limb, including shoulder",80970/3,"Basal cell carcinoma, nodular"
C44.62,"Squamous cell carcinoma of skin of upper limb, including shoulder",80970/3,"Basal cell carcinoma, nodular"
C44.621,"Squamous cell carcinoma of skin of unspecified upper limb, including shoulder",80970/3,"Basal cell carcinoma, nodular"
C44.622,"Squamous cell carcinoma of skin of right upper limb, including shoulder",80970/3,"Basal cell carcinoma, nodular"
C44.629,"Squamous cell carcinoma of skin of left upper limb, including shoulder",80970/3,"Basal cell carcinoma, nodular"
C44.69,"Other specified malignant neoplasm of skin of upper limb, including shoulder",80970/3,"Basal cell carcinoma, nodular"
C44.691,"Other specified malignant neoplasm of skin of unspecified upper limb, including shoulder",80970/3,"Basal cell carcinoma, nodular"
C44.692,"Other specified malignant neoplasm of skin of right upper limb, including shoulder",80970/3,"Basal cell carcinoma, nodular"
C44.699,"Other specified malignant neoplasm of skin of left upper limb, including shoulder",80970/3,"Basal cell carcinoma, nodular"
C44.7,"Other and unspecified malignant neoplasm of skin of lower limb, including hip",80970/3,"Basal cell carcinoma, nodular"
C44.70,"Unspecified malignant neoplasm of skin of lower limb, including hip",80970/3,"Basal cell carcinoma, nodular"
C44.701,"Unspecified malignant neoplasm of skin of unspecified lower limb, including hip",80970/3,"Basal cell carcinoma, nodular"
C44.702,"Unspecified malignant neoplasm of skin of right lower limb, including hip",80970/3,"Basal cell carcinoma, nodular"
C44.709,"Unspecified malignant neoplasm of skin of left lower limb, including hip",80970/3,"Basal cell carcinoma, nodular"
C44.71,"Basal cell carcinoma of skin of lower limb, including hip",80970/3,"Basal cell carcinoma, nodular"
C44.711,"Basal cell carcinoma of skin of unspecified lower limb, including hip",80970/3,"Basal cell carcinoma, nodular"
C44.712,"Basal cell carcinoma of skin of right lower limb, including hip",80970/3,"Basal cell carcinoma, nodular"
C44.719,"Basal cell carcinoma of skin of left lower limb, including hip",80970/3,"Basal cell carcinoma, nodular"
C44.72,"Squamous cell carcinoma of skin of lower limb, including hip",80970/3,"Basal cell carcinoma, nodular"
C44.721,"Squamous cell carcinoma of skin of unspecified lower limb, including hip",80970/3,"Basal cell carcinoma, nodular"
C44.722,"Squamous cell carcinoma of skin of right lower limb, including hip",80970/3,"Basal cell carcinoma, nodular"
C44.729,"Squamous cell carcinoma of skin of left lower limb, including hip",80970/3,"Basal cell carcinoma, nodular"
C44.79,"Other specified malignant neoplasm of skin of lower limb, including hip",80970/3,"Basal cell carcinoma, nodular"
C44.791,"Other specified malignant neoplasm of skin of unspecified lower limb, including hip",80970/3,"Basal cell carcinoma, nodular"
C44.792,"Other specified malignant neoplasm of skin of right lower limb, including hip",80970/3,"Basal cell carcinoma, nodular"
C44.799,"Other specified malignant neoplasm of skin of left lower limb, including hip",80970/3,"Basal cell carcinoma, nodular"
C44.8,Other and unspecified malignant neoplasm of overlapping sites of skin,80970/3,"Basal cell carcinoma, nodular"
C44.80,Unspecified malignant neoplasm of overlapping sites of skin,80970/3,"Basal cell carcinoma, nodular"
C44.81,Basal cell carcinoma of overlapping sites of skin,80970/3,"Basal cell carcinoma, nodular"
C44.82,Squamous cell carcinoma of overlapping sites of skin,80970/3,"Basal cell carcinoma, nodular"
C44.89,Other specified malignant neoplasm of overlapping sites of skin,80970/3,"Basal cell carcinoma, nodular"
C44.9,"Other and unspecified malignant neoplasm of skin, unspecified",80970/3,"Basal cell carcinoma, nodular"
C44.90,"Unspecified malignant neoplasm of skin, unspecified",80970/3,"Basal cell carcinoma, nodular"
C44.91,"Basal cell carcinoma of skin, unspecified",80970/3,"Basal cell carcinoma, nodular"
C44.92,"Squamous cell carcinoma of skin, unspecified",80970/3,"Basal cell carcinoma, nodular"
C44.99,"Other specified malignant neoplasm of skin, unspecified",80970/3,"Basal cell carcinoma, nodular"
C44.0,Other and unspecified malignant neoplasm of skin of lip,80971/3,"Basal cell carcinoma, micronodular"
C44.00,Unspecified malignant neoplasm of skin of lip,80971/3,"Basal cell carcinoma, micronodular"
C44.01,Basal cell carcinoma of skin of lip,80971/3,"Basal cell carcinoma, micronodular"
C44.02,Squamous cell carcinoma of skin of lip,80971/3,"Basal cell carcinoma, micronodular"
C44.09,Other specified malignant neoplasm of skin of lip,80971/3,"Basal cell carcinoma, micronodular"
C44.1,"Other and unspecified malignant neoplasm of skin of eyelid, including canthus",80971/3,"Basal cell carcinoma, micronodular"
C44.10,"Unspecified malignant neoplasm of skin of eyelid, including canthus",80971/3,"Basal cell carcinoma, micronodular"
C44.101,"Unspecified malignant neoplasm of skin of unspecified eyelid, including canthus",80971/3,"Basal cell carcinoma, micronodular"
C44.102,"Unspecified malignant neoplasm of skin of right eyelid, including canthus",80971/3,"Basal cell carcinoma, micronodular"
C44.1021,"Unspecified malignant neoplasm of skin of right upper eyelid, including canthus",80971/3,"Basal cell carcinoma, micronodular"
C44.1022,"Unspecified malignant neoplasm of skin of right lower eyelid, including canthus",80971/3,"Basal cell carcinoma, micronodular"
C44.109,"Unspecified malignant neoplasm of skin of left eyelid, including canthus",80971/3,"Basal cell carcinoma, micronodular"
C44.1091,"Unspecified malignant neoplasm of skin of left upper eyelid, including canthus",80971/3,"Basal cell carcinoma, micronodular"
C44.1092,"Unspecified malignant neoplasm of skin of left lower eyelid, including canthus",80971/3,"Basal cell carcinoma, micronodular"
C44.11,"Basal cell carcinoma of skin of eyelid, including canthus",80971/3,"Basal cell carcinoma, micronodular"
C44.111,"Basal cell carcinoma of skin of unspecified eyelid, including canthus",80971/3,"Basal cell carcinoma, micronodular"
C44.112,"Basal cell carcinoma of skin of right eyelid, including canthus",80971/3,"Basal cell carcinoma, micronodular"
C44.1121,"Basal cell carcinoma of skin of right upper eyelid, including canthus",80971/3,"Basal cell carcinoma, micronodular"
C44.1122,"Basal cell carcinoma of skin of right lower eyelid, including canthus",80971/3,"Basal cell carcinoma, micronodular"
C44.119,"Basal cell carcinoma of skin of left eyelid, including canthus",80971/3,"Basal cell carcinoma, micronodular"
C44.1191,"Basal cell carcinoma of skin of left upper eyelid, including canthus",80971/3,"Basal cell carcinoma, micronodular"
C44.1192,"Basal cell carcinoma of skin of left lower eyelid, including canthus",80971/3,"Basal cell carcinoma, micronodular"
C44.12,"Squamous cell carcinoma of skin of eyelid, including canthus",80971/3,"Basal cell carcinoma, micronodular"
C44.121,"Squamous cell carcinoma of skin of unspecified eyelid, including canthus",80971/3,"Basal cell carcinoma, micronodular"
C44.122,"Squamous cell carcinoma of skin of right eyelid, including canthus",80971/3,"Basal cell carcinoma, micronodular"
C44.1221,"Squamous cell carcinoma of skin of right upper eyelid, including canthus",80971/3,"Basal cell carcinoma, micronodular"
C44.1222,"Squamous cell carcinoma of skin of right lower eyelid, including canthus",80971/3,"Basal cell carcinoma, micronodular"
C44.129,"Squamous cell carcinoma of skin of left eyelid, including canthus",80971/3,"Basal cell carcinoma, micronodular"
C44.1291,"Squamous cell carcinoma of skin of left upper eyelid, including canthus",80971/3,"Basal cell carcinoma, micronodular"
C44.1292,"Squamous cell carcinoma of skin of left lower eyelid, including canthus",80971/3,"Basal cell carcinoma, micronodular"
C44.13,"Sebaceous cell carcinoma of skin of eyelid, including canthus",80971/3,"Basal cell carcinoma, micronodular"
C44.131,"Sebaceous cell carcinoma of skin of unspecified eyelid, including canthus",80971/3,"Basal cell carcinoma, micronodular"
C44.132,"Sebaceous cell carcinoma of skin of right eyelid, including canthus",80971/3,"Basal cell carcinoma, micronodular"
C44.1321,"Sebaceous cell carcinoma of skin of right upper eyelid, including canthus",80971/3,"Basal cell carcinoma, micronodular"
C44.1322,"Sebaceous cell carcinoma of skin of right lower eyelid, including canthus",80971/3,"Basal cell carcinoma, micronodular"
C44.139,"Sebaceous cell carcinoma of skin of left eyelid, including canthus",80971/3,"Basal cell carcinoma, micronodular"
C44.1391,"Sebaceous cell carcinoma of skin of left upper eyelid, including canthus",80971/3,"Basal cell carcinoma, micronodular"
C44.1392,"Sebaceous cell carcinoma of skin of left lower eyelid, including canthus",80971/3,"Basal cell carcinoma, micronodular"
C44.19,"Other specified malignant neoplasm of skin of eyelid, including canthus",80971/3,"Basal cell carcinoma, micronodular"
C44.191,"Other specified malignant neoplasm of skin of unspecified eyelid, including canthus",80971/3,"Basal cell carcinoma, micronodular"
C44.192,"Other specified malignant neoplasm of skin of right eyelid, including canthus",80971/3,"Basal cell carcinoma, micronodular"
C44.1921,"Other specified malignant neoplasm of skin of right upper eyelid, including canthus",80971/3,"Basal cell carcinoma, micronodular"
C44.1922,"Other specified malignant neoplasm of skin of right lower eyelid, including canthus",80971/3,"Basal cell carcinoma, micronodular"
C44.199,"Other specified malignant neoplasm of skin of left eyelid, including canthus",80971/3,"Basal cell carcinoma, micronodular"
C44.1991,"Other specified malignant neoplasm of skin of left upper eyelid, including canthus",80971/3,"Basal cell carcinoma, micronodular"
C44.1992,"Other specified malignant neoplasm of skin of left lower eyelid, including canthus",80971/3,"Basal cell carcinoma, micronodular"
C44.2,Other and unspecified malignant neoplasm of skin of ear and external auricular canal,80971/3,"Basal cell carcinoma, micronodular"
C44.20,Unspecified malignant neoplasm of skin of ear and external auricular canal,80971/3,"Basal cell carcinoma, micronodular"
C44.201,Unspecified malignant neoplasm of skin of unspecified ear and external auricular canal,80971/3,"Basal cell carcinoma, micronodular"
C44.202,Unspecified malignant neoplasm of skin of right ear and external auricular canal,80971/3,"Basal cell carcinoma, micronodular"
C44.209,Unspecified malignant neoplasm of skin of left ear and external auricular canal,80971/3,"Basal cell carcinoma, micronodular"
C44.21,Basal cell carcinoma of skin of ear and external auricular canal,80971/3,"Basal cell carcinoma, micronodular"
C44.211,Basal cell carcinoma of skin of unspecified ear and external auricular canal,80971/3,"Basal cell carcinoma, micronodular"
C44.212,Basal cell carcinoma of skin of right ear and external auricular canal,80971/3,"Basal cell carcinoma, micronodular"
C44.219,Basal cell carcinoma of skin of left ear and external auricular canal,80971/3,"Basal cell carcinoma, micronodular"
C44.22,Squamous cell carcinoma of skin of ear and external auricular canal,80971/3,"Basal cell carcinoma, micronodular"
C44.221,Squamous cell carcinoma of skin of unspecified ear and external auricular canal,80971/3,"Basal cell carcinoma, micronodular"
C44.222,Squamous cell carcinoma of skin of right ear and external auricular canal,80971/3,"Basal cell carcinoma, micronodular"
C44.229,Squamous cell carcinoma of skin of left ear and external auricular canal,80971/3,"Basal cell carcinoma, micronodular"
C44.29,Other specified malignant neoplasm of skin of ear and external auricular canal,80971/3,"Basal cell carcinoma, micronodular"
C44.291,Other specified malignant neoplasm of skin of unspecified ear and external auricular canal,80971/3,"Basal cell carcinoma, micronodular"
C44.292,Other specified malignant neoplasm of skin of right ear and external auricular canal,80971/3,"Basal cell carcinoma, micronodular"
C44.299,Other specified malignant neoplasm of skin of left ear and external auricular canal,80971/3,"Basal cell carcinoma, micronodular"
C44.3,Other and unspecified malignant neoplasm of skin of other and unspecified parts of face,80971/3,"Basal cell carcinoma, micronodular"
C44.30,Unspecified malignant neoplasm of skin of other and unspecified parts of face,80971/3,"Basal cell carcinoma, micronodular"
C44.300,Unspecified malignant neoplasm of skin of unspecified part of face,80971/3,"Basal cell carcinoma, micronodular"
C44.301,Unspecified malignant neoplasm of skin of nose,80971/3,"Basal cell carcinoma, micronodular"
C44.309,Unspecified malignant neoplasm of skin of other parts of face,80971/3,"Basal cell carcinoma, micronodular"
C44.31,Basal cell carcinoma of skin of other and unspecified parts of face,80971/3,"Basal cell carcinoma, micronodular"
C44.310,Basal cell carcinoma of skin of unspecified parts of face,80971/3,"Basal cell carcinoma, micronodular"
C44.311,Basal cell carcinoma of skin of nose,80971/3,"Basal cell carcinoma, micronodular"
C44.319,Basal cell carcinoma of skin of other parts of face,80971/3,"Basal cell carcinoma, micronodular"
C44.32,Squamous cell carcinoma of skin of other and unspecified parts of face,80971/3,"Basal cell carcinoma, micronodular"
C44.320,Squamous cell carcinoma of skin of unspecified parts of face,80971/3,"Basal cell carcinoma, micronodular"
C44.321,Squamous cell carcinoma of skin of nose,80971/3,"Basal cell carcinoma, micronodular"
C44.329,Squamous cell carcinoma of skin of other parts of face,80971/3,"Basal cell carcinoma, micronodular"
C44.39,Other specified malignant neoplasm of skin of other and unspecified parts of face,80971/3,"Basal cell carcinoma, micronodular"
C44.390,Other specified malignant neoplasm of skin of unspecified parts of face,80971/3,"Basal cell carcinoma, micronodular"
C44.391,Other specified malignant neoplasm of skin of nose,80971/3,"Basal cell carcinoma, micronodular"
C44.399,Other specified malignant neoplasm of skin of other parts of face,80971/3,"Basal cell carcinoma, micronodular"
C44.4,Other and unspecified malignant neoplasm of skin of scalp and neck,80971/3,"Basal cell carcinoma, micronodular"
C44.40,Unspecified malignant neoplasm of skin of scalp and neck,80971/3,"Basal cell carcinoma, micronodular"
C44.41,Basal cell carcinoma of skin of scalp and neck,80971/3,"Basal cell carcinoma, micronodular"
C44.42,Squamous cell carcinoma of skin of scalp and neck,80971/3,"Basal cell carcinoma, micronodular"
C44.49,Other specified malignant neoplasm of skin of scalp and neck,80971/3,"Basal cell carcinoma, micronodular"
C44.5,Other and unspecified malignant neoplasm of skin of trunk,80971/3,"Basal cell carcinoma, micronodular"
C44.50,Unspecified malignant neoplasm of skin of trunk,80971/3,"Basal cell carcinoma, micronodular"
C44.500,Unspecified malignant neoplasm of anal skin,80971/3,"Basal cell carcinoma, micronodular"
C44.501,Unspecified malignant neoplasm of skin of breast,80971/3,"Basal cell carcinoma, micronodular"
C44.509,Unspecified malignant neoplasm of skin of other part of trunk,80971/3,"Basal cell carcinoma, micronodular"
C44.51,Basal cell carcinoma of skin of trunk,80971/3,"Basal cell carcinoma, micronodular"
C44.510,Basal cell carcinoma of anal skin,80971/3,"Basal cell carcinoma, micronodular"
C44.511,Basal cell carcinoma of skin of breast,80971/3,"Basal cell carcinoma, micronodular"
C44.519,Basal cell carcinoma of skin of other part of trunk,80971/3,"Basal cell carcinoma, micronodular"
C44.52,Squamous cell carcinoma of skin of trunk,80971/3,"Basal cell carcinoma, micronodular"
C44.520,Squamous cell carcinoma of anal skin,80971/3,"Basal cell carcinoma, micronodular"
C44.521,Squamous cell carcinoma of skin of breast,80971/3,"Basal cell carcinoma, micronodular"
C44.529,Squamous cell carcinoma of skin of other part of trunk,80971/3,"Basal cell carcinoma, micronodular"
C44.59,Other specified malignant neoplasm of skin of trunk,80971/3,"Basal cell carcinoma, micronodular"
C44.590,Other specified malignant neoplasm of anal skin,80971/3,"Basal cell carcinoma, micronodular"
C44.591,Other specified malignant neoplasm of skin of breast,80971/3,"Basal cell carcinoma, micronodular"
C44.599,Other specified malignant neoplasm of skin of other part of trunk,80971/3,"Basal cell carcinoma, micronodular"
C44.6,"Other and unspecified malignant neoplasm of skin of upper limb, including shoulder",80971/3,"Basal cell carcinoma, micronodular"
C44.60,"Unspecified malignant neoplasm of skin of upper limb, including shoulder",80971/3,"Basal cell carcinoma, micronodular"
C44.601,"Unspecified malignant neoplasm of skin of unspecified upper limb, including shoulder",80971/3,"Basal cell carcinoma, micronodular"
C44.602,"Unspecified malignant neoplasm of skin of right upper limb, including shoulder",80971/3,"Basal cell carcinoma, micronodular"
C44.609,"Unspecified malignant neoplasm of skin of left upper limb, including shoulder",80971/3,"Basal cell carcinoma, micronodular"
C44.61,"Basal cell carcinoma of skin of upper limb, including shoulder",80971/3,"Basal cell carcinoma, micronodular"
C44.611,"Basal cell carcinoma of skin of unspecified upper limb, including shoulder",80971/3,"Basal cell carcinoma, micronodular"
C44.612,"Basal cell carcinoma of skin of right upper limb, including shoulder",80971/3,"Basal cell carcinoma, micronodular"
C44.619,"Basal cell carcinoma of skin of left upper limb, including shoulder",80971/3,"Basal cell carcinoma, micronodular"
C44.62,"Squamous cell carcinoma of skin of upper limb, including shoulder",80971/3,"Basal cell carcinoma, micronodular"
C44.621,"Squamous cell carcinoma of skin of unspecified upper limb, including shoulder",80971/3,"Basal cell carcinoma, micronodular"
C44.622,"Squamous cell carcinoma of skin of right upper limb, including shoulder",80971/3,"Basal cell carcinoma, micronodular"
C44.629,"Squamous cell carcinoma of skin of left upper limb, including shoulder",80971/3,"Basal cell carcinoma, micronodular"
C44.69,"Other specified malignant neoplasm of skin of upper limb, including shoulder",80971/3,"Basal cell carcinoma, micronodular"
C44.691,"Other specified malignant neoplasm of skin of unspecified upper limb, including shoulder",80971/3,"Basal cell carcinoma, micronodular"
C44.692,"Other specified malignant neoplasm of skin of right upper limb, including shoulder",80971/3,"Basal cell carcinoma, micronodular"
C44.699,"Other specified malignant neoplasm of skin of left upper limb, including shoulder",80971/3,"Basal cell carcinoma, micronodular"
C44.7,"Other and unspecified malignant neoplasm of skin of lower limb, including hip",80971/3,"Basal cell carcinoma, micronodular"
C44.70,"Unspecified malignant neoplasm of skin of lower limb, including hip",80971/3,"Basal cell carcinoma, micronodular"
C44.701,"Unspecified malignant neoplasm of skin of unspecified lower limb, including hip",80971/3,"Basal cell carcinoma, micronodular"
C44.702,"Unspecified malignant neoplasm of skin of right lower limb, including hip",80971/3,"Basal cell carcinoma, micronodular"
C44.709,"Unspecified malignant neoplasm of skin of left lower limb, including hip",80971/3,"Basal cell carcinoma, micronodular"
C44.71,"Basal cell carcinoma of skin of lower limb, including hip",80971/3,"Basal cell carcinoma, micronodular"
C44.711,"Basal cell carcinoma of skin of unspecified lower limb, including hip",80971/3,"Basal cell carcinoma, micronodular"
C44.712,"Basal cell carcinoma of skin of right lower limb, including hip",80971/3,"Basal cell carcinoma, micronodular"
C44.719,"Basal cell carcinoma of skin of left lower limb, including hip",80971/3,"Basal cell carcinoma, micronodular"
C44.72,"Squamous cell carcinoma of skin of lower limb, including hip",80971/3,"Basal cell carcinoma, micronodular"
C44.721,"Squamous cell carcinoma of skin of unspecified lower limb, including hip",80971/3,"Basal cell carcinoma, micronodular"
C44.722,"Squamous cell carcinoma of skin of right lower limb, including hip",80971/3,"Basal cell carcinoma, micronodular"
C44.729,"Squamous cell carcinoma of skin of left lower limb, including hip",80971/3,"Basal cell carcinoma, micronodular"
C44.79,"Other specified malignant neoplasm of skin of lower limb, including hip",80971/3,"Basal cell carcinoma, micronodular"
C44.791,"Other specified malignant neoplasm of skin of unspecified lower limb, including hip",80971/3,"Basal cell carcinoma, micronodular"
C44.792,"Other specified malignant neoplasm of skin of right lower limb, including hip",80971/3,"Basal cell carcinoma, micronodular"
C44.799,"Other specified malignant neoplasm of skin of left lower limb, including hip",80971/3,"Basal cell carcinoma, micronodular"
C44.8,Other and unspecified malignant neoplasm of overlapping sites of skin,80971/3,"Basal cell carcinoma, micronodular"
C44.80,Unspecified malignant neoplasm of overlapping sites of skin,80971/3,"Basal cell carcinoma, micronodular"
C44.81,Basal cell carcinoma of overlapping sites of skin,80971/3,"Basal cell carcinoma, micronodular"
C44.82,Squamous cell carcinoma of overlapping sites of skin,80971/3,"Basal cell carcinoma, micronodular"
C44.89,Other specified malignant neoplasm of overlapping sites of skin,80971/3,"Basal cell carcinoma, micronodular"
C44.9,"Other and unspecified malignant neoplasm of skin, unspecified",80971/3,"Basal cell carcinoma, micronodular"
C44.90,"Unspecified malignant neoplasm of skin, unspecified",80971/3,"Basal cell carcinoma, micronodular"
C44.91,"Basal cell carcinoma of skin, unspecified",80971/3,"Basal cell carcinoma, micronodular"
C44.92,"Squamous cell carcinoma of skin, unspecified",80971/3,"Basal cell carcinoma, micronodular"
C44.99,"Other specified malignant neoplasm of skin, unspecified",80971/3,"Basal cell carcinoma, micronodular"
C53.0,Malignant neoplasm of endocervix,80980/3,Adenoid basal carcinoma
C53.1,Malignant neoplasm of exocervix,80980/3,Adenoid basal carcinoma
C53.8,Malignant neoplasm of overlapping sites of cervix uteri,80980/3,Adenoid basal carcinoma
C53.9,"Malignant neoplasm of cervix uteri, unspecified",80980/3,Adenoid basal carcinoma
C44.0,Other and unspecified malignant neoplasm of skin of lip,81000/0,Trichoepithelioma
C44.00,Unspecified malignant neoplasm of skin of lip,81000/0,Trichoepithelioma
C44.01,Basal cell carcinoma of skin of lip,81000/0,Trichoepithelioma
C44.02,Squamous cell carcinoma of skin of lip,81000/0,Trichoepithelioma
C44.09,Other specified malignant neoplasm of skin of lip,81000/0,Trichoepithelioma
C44.1,"Other and unspecified malignant neoplasm of skin of eyelid, including canthus",81000/0,Trichoepithelioma
C44.10,"Unspecified malignant neoplasm of skin of eyelid, including canthus",81000/0,Trichoepithelioma
C44.101,"Unspecified malignant neoplasm of skin of unspecified eyelid, including canthus",81000/0,Trichoepithelioma
C44.102,"Unspecified malignant neoplasm of skin of right eyelid, including canthus",81000/0,Trichoepithelioma
C44.1021,"Unspecified malignant neoplasm of skin of right upper eyelid, including canthus",81000/0,Trichoepithelioma
C44.1022,"Unspecified malignant neoplasm of skin of right lower eyelid, including canthus",81000/0,Trichoepithelioma
C44.109,"Unspecified malignant neoplasm of skin of left eyelid, including canthus",81000/0,Trichoepithelioma
C44.1091,"Unspecified malignant neoplasm of skin of left upper eyelid, including canthus",81000/0,Trichoepithelioma
C44.1092,"Unspecified malignant neoplasm of skin of left lower eyelid, including canthus",81000/0,Trichoepithelioma
C44.11,"Basal cell carcinoma of skin of eyelid, including canthus",81000/0,Trichoepithelioma
C44.111,"Basal cell carcinoma of skin of unspecified eyelid, including canthus",81000/0,Trichoepithelioma
C44.112,"Basal cell carcinoma of skin of right eyelid, including canthus",81000/0,Trichoepithelioma
C44.1121,"Basal cell carcinoma of skin of right upper eyelid, including canthus",81000/0,Trichoepithelioma
C44.1122,"Basal cell carcinoma of skin of right lower eyelid, including canthus",81000/0,Trichoepithelioma
C44.119,"Basal cell carcinoma of skin of left eyelid, including canthus",81000/0,Trichoepithelioma
C44.1191,"Basal cell carcinoma of skin of left upper eyelid, including canthus",81000/0,Trichoepithelioma
C44.1192,"Basal cell carcinoma of skin of left lower eyelid, including canthus",81000/0,Trichoepithelioma
C44.12,"Squamous cell carcinoma of skin of eyelid, including canthus",81000/0,Trichoepithelioma
C44.121,"Squamous cell carcinoma of skin of unspecified eyelid, including canthus",81000/0,Trichoepithelioma
C44.122,"Squamous cell carcinoma of skin of right eyelid, including canthus",81000/0,Trichoepithelioma
C44.1221,"Squamous cell carcinoma of skin of right upper eyelid, including canthus",81000/0,Trichoepithelioma
C44.1222,"Squamous cell carcinoma of skin of right lower eyelid, including canthus",81000/0,Trichoepithelioma
C44.129,"Squamous cell carcinoma of skin of left eyelid, including canthus",81000/0,Trichoepithelioma
C44.1291,"Squamous cell carcinoma of skin of left upper eyelid, including canthus",81000/0,Trichoepithelioma
C44.1292,"Squamous cell carcinoma of skin of left lower eyelid, including canthus",81000/0,Trichoepithelioma
C44.13,"Sebaceous cell carcinoma of skin of eyelid, including canthus",81000/0,Trichoepithelioma
C44.131,"Sebaceous cell carcinoma of skin of unspecified eyelid, including canthus",81000/0,Trichoepithelioma
C44.132,"Sebaceous cell carcinoma of skin of right eyelid, including canthus",81000/0,Trichoepithelioma
C44.1321,"Sebaceous cell carcinoma of skin of right upper eyelid, including canthus",81000/0,Trichoepithelioma
C44.1322,"Sebaceous cell carcinoma of skin of right lower eyelid, including canthus",81000/0,Trichoepithelioma
C44.139,"Sebaceous cell carcinoma of skin of left eyelid, including canthus",81000/0,Trichoepithelioma
C44.1391,"Sebaceous cell carcinoma of skin of left upper eyelid, including canthus",81000/0,Trichoepithelioma
C44.1392,"Sebaceous cell carcinoma of skin of left lower eyelid, including canthus",81000/0,Trichoepithelioma
